"key","scientificName","issues","datasetKey","publishingOrgKey","installationKey","hostingOrganizationKey","publishingCountry","protocol","lastCrawled","lastParsed","crawlId","basisOfRecord","occurrenceStatus","taxonKey","kingdomKey","phylumKey","classKey","orderKey","familyKey","genusKey","speciesKey","acceptedTaxonKey","acceptedScientificName","kingdom","phylum","order","family","genus","species","genericName","specificEpithet","taxonRank","taxonomicStatus","iucnRedListCategory","continent","stateProvince","gadm","higherGeography","year","month","day","eventDate","startDayOfYear","endDayOfYear","modified","lastInterpreted","references","license","isSequenced","identifier","facts","relations","institutionKey","collectionKey","isInCluster","datasetName","recordedBy","preparations","class","countryCode","recordedByIDs","identifiedByIDs","gbifRegion","country","publishedByGbifRegion","rightsHolder","recordNumber","identifier.1","habitat","institutionID","dynamicProperties","locality","fieldNumber","verbatimLocality","collectionCode","gbifID","language","occurrenceID","type","disposition","catalogNumber","institutionCode","accessRights","verbatimElevation","collectionID","reproductiveCondition","name","networkKeys","elevation","higherClassification","decimalLatitude","decimalLongitude","identifiedBy","geodeticDatum","nomenclaturalCode","occurrenceRemarks","elevationAccuracy","verbatimEventDate","locationRemarks","otherCatalogNumbers","county","individualCount","island","identificationRemarks","islandGroup","municipality","georeferenceProtocol","eventRemarks","projectId","programmeAcronym","typeStatus","eventID","footprintSRS","bibliographicCitation","verbatimIdentification","media_url"
"2515700742","Octamyrtus pleiopetala Diels","colmafu,inmafu","15f819bd-6612-4447-854b-14d12ee1022d","396d5f30-dea9-11db-8ab4-b8a03c50a862","65eb93af-41b8-4917-a5fc-cfe2a45aa4bf","396d5f30-dea9-11db-8ab4-b8a03c50a862","NL","DWC_ARCHIVE","2024-07-18T22:01:52.868+00:00","2024-07-18T23:54:11.505+00:00",270,"PRESERVED_SPECIMEN","PRESENT",3188439,6,7707728,220,690,5014,3188438,3188439,3188439,"Octamyrtus pleiopetala Diels","Plantae","Tracheophyta","Myrtales","Myrtaceae","Octamyrtus","Octamyrtus pleiopetala","Octamyrtus","pleiopetala","SPECIES","ACCEPTED","NE","OCEANIA","New Guinea",NA,NA,2009,9,17,"2009-09-17",260,260,NA,"2024-07-18T23:54:11.505+00:00",NA,"http://creativecommons.org/publicdomain/zero/1.0/",FALSE,"L.2068379@BRAHMS","none","none","0e919a55-08d3-4bd2-aec1-200858fafd92","0add23db-a8f7-4d15-95ad-4ed0c5c8a055",FALSE,NA,"Takeuchi WN; Ama D; Gamui B",NA,"Magnoliopsida","PG","none","none","OCEANIA","Papua New Guinea","EUROPE","Naturalis Biodiversity Center","Takeuchi, WN; Ama, D; Gamui, B 24711","L.2068379@BRAHMS","Nothofagus-emergent montane forest on doline karst.","Naturalis Biodiversity Center",NA,"Muller Range, Expedition Camp 2.",NA,NA,"Botany","2515700742",NA,"https://data.biodiversitydata.nl/naturalis/specimen/L.2068379",NA,NA,"L.2068379",NA,NA,"1450.0 m",NA,NA,"Octamyrtus pleiopetala Diels","17abcf75-2f1e-46dd-bf75-a5b21dd02655",NA,"Plantae|Myrtales|Myrtaceae",-5.66017,142.3003,"Takeuchi WN","WGS84","ICN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://medialib.naturalis.nl/file/id/L.2068379/format/large"
"2517070005","Octamyrtus pleiopetala Diels","colmafu,inmafu","15f819bd-6612-4447-854b-14d12ee1022d","396d5f30-dea9-11db-8ab4-b8a03c50a862","65eb93af-41b8-4917-a5fc-cfe2a45aa4bf","396d5f30-dea9-11db-8ab4-b8a03c50a862","NL","DWC_ARCHIVE","2024-07-18T22:01:52.868+00:00","2024-07-18T23:56:15.621+00:00",270,"PRESERVED_SPECIMEN","PRESENT",3188439,6,7707728,220,690,5014,3188438,3188439,3188439,"Octamyrtus pleiopetala Diels","Plantae","Tracheophyta","Myrtales","Myrtaceae","Octamyrtus","Octamyrtus pleiopetala","Octamyrtus","pleiopetala","SPECIES","ACCEPTED","NE","OCEANIA","New Guinea",NA,NA,2006,6,NA,"2006-06-01/2006-06-30",152,181,NA,"2024-07-18T23:56:15.621+00:00",NA,"http://creativecommons.org/publicdomain/zero/1.0/",FALSE,"L.3957198@BRAHMS","none","none","0e919a55-08d3-4bd2-aec1-200858fafd92","0add23db-a8f7-4d15-95ad-4ed0c5c8a055",FALSE,NA,"Ama D; Takeuchi WN",NA,"Magnoliopsida","PG","none","none","OCEANIA","Papua New Guinea","EUROPE","Naturalis Biodiversity Center","Ama, D; Takeuchi, WN s.n.","L.3957198@BRAHMS","Lowland foothill forest.","Naturalis Biodiversity Center",NA,"Josephstaal District.",NA,NA,"Botany","2517070005",NA,"https://data.biodiversitydata.nl/naturalis/specimen/L.3957198",NA,NA,"L.3957198",NA,NA,"160.0 m",NA,NA,"Octamyrtus pleiopetala Diels","17abcf75-2f1e-46dd-bf75-a5b21dd02655",NA,"Plantae|Myrtales|Myrtaceae",-4.5,145.03333,"Balgooy MMJ van","WGS84","ICN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://medialib.naturalis.nl/file/id/L.3957198/format/large"
"2515195514","Octamyrtus pleiopetala Diels","colmafu,inmafu","15f819bd-6612-4447-854b-14d12ee1022d","396d5f30-dea9-11db-8ab4-b8a03c50a862","65eb93af-41b8-4917-a5fc-cfe2a45aa4bf","396d5f30-dea9-11db-8ab4-b8a03c50a862","NL","DWC_ARCHIVE","2024-07-18T22:01:52.868+00:00","2024-07-18T23:54:49.695+00:00",270,"PRESERVED_SPECIMEN","PRESENT",3188439,6,7707728,220,690,5014,3188438,3188439,3188439,"Octamyrtus pleiopetala Diels","Plantae","Tracheophyta","Myrtales","Myrtaceae","Octamyrtus","Octamyrtus pleiopetala","Octamyrtus","pleiopetala","SPECIES","ACCEPTED","NE","OCEANIA",NA,NA,NA,2005,8,30,"2005-08-30",242,242,NA,"2024-07-18T23:54:49.695+00:00",NA,"http://creativecommons.org/publicdomain/zero/1.0/",FALSE,"L.4165406@BRAHMS","none","none","0e919a55-08d3-4bd2-aec1-200858fafd92","0add23db-a8f7-4d15-95ad-4ed0c5c8a055",FALSE,NA,"Takeuchi WN; Towati A; Ama D",NA,"Magnoliopsida","PG","none","none","OCEANIA","Papua New Guinea","EUROPE","Naturalis Biodiversity Center","Takeuchi, WN; Towati, A; Ama, D 19941","L.4165406@BRAHMS",NA,"Naturalis Biodiversity Center",NA,"Flora of Papua New Guinea. Enga Province; Paiela area, expedition Camp 2, subcrest of limetone ridge near bivouac, mossy montane forest.",NA,NA,"Botany","2515195514",NA,"https://data.biodiversitydata.nl/naturalis/specimen/L.4165406",NA,NA,"L.4165406",NA,NA,NA,NA,NA,"Octamyrtus pleiopetala Diels","17abcf75-2f1e-46dd-bf75-a5b21dd02655",NA,"Plantae|Myrtales|Myrtaceae",-5.59333,142.83528,NA,"WGS84","ICN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://medialib.naturalis.nl/file/id/L.4165406/format/large"
"2517164138","Octamyrtus pleiopetala Diels","colmafu,inmafu","15f819bd-6612-4447-854b-14d12ee1022d","396d5f30-dea9-11db-8ab4-b8a03c50a862","65eb93af-41b8-4917-a5fc-cfe2a45aa4bf","396d5f30-dea9-11db-8ab4-b8a03c50a862","NL","DWC_ARCHIVE","2024-07-18T22:01:52.868+00:00","2024-07-18T23:54:49.695+00:00",270,"PRESERVED_SPECIMEN","PRESENT",3188439,6,7707728,220,690,5014,3188438,3188439,3188439,"Octamyrtus pleiopetala Diels","Plantae","Tracheophyta","Myrtales","Myrtaceae","Octamyrtus","Octamyrtus pleiopetala","Octamyrtus","pleiopetala","SPECIES","ACCEPTED","NE","OCEANIA",NA,NA,NA,2005,8,30,"2005-08-30",242,242,NA,"2024-07-18T23:54:49.695+00:00",NA,"http://creativecommons.org/publicdomain/zero/1.0/",FALSE,"L.4165408@BRAHMS","none","none","0e919a55-08d3-4bd2-aec1-200858fafd92","0add23db-a8f7-4d15-95ad-4ed0c5c8a055",FALSE,NA,"Takeuchi WN; Towati A; Ama D",NA,"Magnoliopsida","PG","none","none","OCEANIA","Papua New Guinea","EUROPE","Naturalis Biodiversity Center","Takeuchi, WN; Towati, A; Ama, D 19951","L.4165408@BRAHMS",NA,"Naturalis Biodiversity Center",NA,"Flora of Papua New Guinea. Enga Province; Paiela area, expedition Camp 2, mossy montane forest about halfway to summit of limestone ridge near bivouac.",NA,NA,"Botany","2517164138",NA,"https://data.biodiversitydata.nl/naturalis/specimen/L.4165408",NA,NA,"L.4165408",NA,NA,NA,NA,NA,"Octamyrtus pleiopetala Diels","17abcf75-2f1e-46dd-bf75-a5b21dd02655",NA,"Plantae|Myrtales|Myrtaceae",-5.59833,142.83528,NA,"WGS84","ICN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://medialib.naturalis.nl/file/id/L.4165408/format/large"
"2516800393","Octamyrtus pleiopetala Diels","txmathi,colmafu,inmafu","15f819bd-6612-4447-854b-14d12ee1022d","396d5f30-dea9-11db-8ab4-b8a03c50a862","65eb93af-41b8-4917-a5fc-cfe2a45aa4bf","396d5f30-dea9-11db-8ab4-b8a03c50a862","NL","DWC_ARCHIVE","2024-07-18T22:01:52.868+00:00","2024-07-18T23:54:48.657+00:00",270,"PRESERVED_SPECIMEN","PRESENT",3188439,6,7707728,220,690,5014,3188438,3188439,3188439,"Octamyrtus pleiopetala Diels","Plantae","Tracheophyta","Myrtales","Myrtaceae","Octamyrtus","Octamyrtus pleiopetala","Octamyrtus","pleiopetala","SPECIES","ACCEPTED","NE","OCEANIA",NA,NA,NA,1998,7,27,"1998-07-27",208,208,NA,"2024-07-18T23:54:48.657+00:00",NA,"http://creativecommons.org/publicdomain/zero/1.0/",FALSE,"L.4158649@BRAHMS","none","none","0e919a55-08d3-4bd2-aec1-200858fafd92","0add23db-a8f7-4d15-95ad-4ed0c5c8a055",FALSE,NA,"Takeuchi WN",NA,"Magnoliopsida","PG","none","none","OCEANIA","Papua New Guinea","EUROPE","Naturalis Biodiversity Center","Takeuchi, WN 12617","L.4158649@BRAHMS",NA,"Naturalis Biodiversity Center",NA,"Eastern Highlands Province; Crater Mt. Wildlife Management Area, Kusare, GPS 9282779 N, 284262 E.",NA,NA,"Botany","2516800393",NA,"https://data.biodiversitydata.nl/naturalis/specimen/L.4158649",NA,NA,"L.4158649",NA,NA,NA,NA,NA,"Octamyrtus pleiopetala Diels","17abcf75-2f1e-46dd-bf75-a5b21dd02655",NA,"Plantae|Myrtales|Myrtaceae",-6.71667,145,NA,"WGS84","ICN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://medialib.naturalis.nl/file/id/L.4158649/format/large"
"4072523902","Octamyrtus pleiopetala Diels","cdc,gass84","b740eaa0-0679-41dc-acb7-990d562dfa37","a344ee9f-f1b7-4761-be2c-58ee6d741395","4c5fccfd-c052-42ec-97ab-a4657ec27751","a344ee9f-f1b7-4761-be2c-58ee6d741395","BE","EML","2024-06-18T08:41:46.137+00:00","2024-06-18T09:35:28.798+00:00",308,"PRESERVED_SPECIMEN","PRESENT",3188439,6,7707728,220,690,5014,3188438,3188439,3188439,"Octamyrtus pleiopetala Diels","Plantae","Tracheophyta","Myrtales","Myrtaceae","Octamyrtus","Octamyrtus pleiopetala","Octamyrtus","pleiopetala","SPECIES","ACCEPTED","NE","OCEANIA",NA,NA,NA,1998,8,14,"1998-08-14",226,226,"2022-12-25T00:00:00.000+00:00","2024-06-18T09:35:28.798+00:00",NA,"http://creativecommons.org/publicdomain/zero/1.0/",FALSE,"http://www.botanicalcollections.be/specimen/BR0000009325241","none","none","3b896e03-901d-4cc7-ac2b-61e0469521b0","6416a67f-3c3e-495c-8998-568f64249178",TRUE,"Meise Botanic Garden Herbarium","Sands M.","HerbariumSheet","Magnoliopsida","ID","none","none","ASIA","Indonesia","EUROPE","Meise Botanic Garden","7178","http://www.botanicalcollections.be/specimen/BR0000009325241",NA,"http://biocol.org/urn:lsid:biocol.org:col:15605",NA,"Mount Jaya, Papua (New Guinea); Mimika Regency. PT-Freeport Indonesia Concession Area: Near Mile Post 54 on Main Road, 22.2 km S of Tembagapura",NA,NA,"BR","4072523902",NA,"http://www.botanicalcollections.be/specimen/BR0000009325241","PhysicalObject",NA,"BR0000009325241","MeiseBG",NA,NA,"gbif:ih:irn:124997",NA,"Octamyrtus pleiopetala Diels","17abcf75-2f1e-46dd-bf75-a5b21dd02655",NA,NA,-4.25,137.016667,NA,"WGS84","ICBN",NA,NA,"[14/8/1998]","Country: Indonesia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://oxalis.br.fgov.be/images/BR0/000/009/325/241/BR0000009325241.jpg"
"2517217957","Octamyrtus pleiopetala Diels","colmafu,inmafu","15f819bd-6612-4447-854b-14d12ee1022d","396d5f30-dea9-11db-8ab4-b8a03c50a862","65eb93af-41b8-4917-a5fc-cfe2a45aa4bf","396d5f30-dea9-11db-8ab4-b8a03c50a862","NL","DWC_ARCHIVE","2024-07-18T22:01:52.868+00:00","2024-07-18T23:54:47.631+00:00",270,"PRESERVED_SPECIMEN","PRESENT",3188439,6,7707728,220,690,5014,3188438,3188439,3188439,"Octamyrtus pleiopetala Diels","Plantae","Tracheophyta","Myrtales","Myrtaceae","Octamyrtus","Octamyrtus pleiopetala","Octamyrtus","pleiopetala","SPECIES","ACCEPTED","NE","ASIA","New Guinea",NA,NA,1998,8,14,"1998-08-14",226,226,NA,"2024-07-18T23:54:47.631+00:00",NA,"http://creativecommons.org/publicdomain/zero/1.0/",FALSE,"L.4158584@BRAHMS","none","none","0e919a55-08d3-4bd2-aec1-200858fafd92","0add23db-a8f7-4d15-95ad-4ed0c5c8a055",TRUE,NA,"Sands MJS",NA,"Magnoliopsida","ID","none","none","ASIA","Indonesia","EUROPE","Naturalis Biodiversity Center","Sands, MJS 7178","L.4158584@BRAHMS",NA,"Naturalis Biodiversity Center",NA,"Flora of Mount Jaya, Papua, Indonesia (New Guinea). Mimika Regency, PT-Freeport Indonesia Concession Area: Near Mile Post 54 on Main Road, 22.2 km S of Tembagapura.",NA,NA,"Botany","2517217957",NA,"https://data.biodiversitydata.nl/naturalis/specimen/L.4158584",NA,NA,"L.4158584",NA,NA,"0.0 m",NA,NA,"Octamyrtus pleiopetala Diels","17abcf75-2f1e-46dd-bf75-a5b21dd02655",NA,"Plantae|Myrtales|Myrtaceae",-4.25,137.01667,NA,"WGS84","ICN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://medialib.naturalis.nl/file/id/L.4158584/format/large"
"2516476763","Octamyrtus pleiopetala Diels","colmafu,inmafu","15f819bd-6612-4447-854b-14d12ee1022d","396d5f30-dea9-11db-8ab4-b8a03c50a862","65eb93af-41b8-4917-a5fc-cfe2a45aa4bf","396d5f30-dea9-11db-8ab4-b8a03c50a862","NL","DWC_ARCHIVE","2024-07-18T22:01:52.868+00:00","2024-07-18T23:54:19.214+00:00",270,"PRESERVED_SPECIMEN","PRESENT",3188439,6,7707728,220,690,5014,3188438,3188439,3188439,"Octamyrtus pleiopetala Diels","Plantae","Tracheophyta","Myrtales","Myrtaceae","Octamyrtus","Octamyrtus pleiopetala","Octamyrtus","pleiopetala","SPECIES","ACCEPTED","NE","ASIA","Moluccas",NA,NA,1994,11,8,"1994-11-08",312,312,NA,"2024-07-18T23:54:19.214+00:00",NA,"http://creativecommons.org/publicdomain/zero/1.0/",FALSE,"L.2518873@BRAHMS","none","none","0e919a55-08d3-4bd2-aec1-200858fafd92","0add23db-a8f7-4d15-95ad-4ed0c5c8a055",FALSE,NA,"Balgooy MMJ van",NA,"Magnoliopsida","ID","none","none","ASIA","Indonesia","EUROPE","Naturalis Biodiversity Center","Balgooy, MMJ van 6903","L.2518873@BRAHMS",NA,"Naturalis Biodiversity Center",NA,NA,NA,NA,"Botany","2516476763",NA,"https://data.biodiversitydata.nl/naturalis/specimen/L.2518873",NA,NA,"L.2518873",NA,NA,NA,NA,NA,"Octamyrtus pleiopetala Diels","17abcf75-2f1e-46dd-bf75-a5b21dd02655",NA,"Plantae|Myrtales|Myrtaceae",-6.26667,134.26666,NA,"WGS84","ICN",NA,NA,NA,NA,"L  0367814",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://medialib.naturalis.nl/file/id/L.2518873/format/large"
"2515171467","Octamyrtus pleiopetala Diels","colmafu,inmafu","15f819bd-6612-4447-854b-14d12ee1022d","396d5f30-dea9-11db-8ab4-b8a03c50a862","65eb93af-41b8-4917-a5fc-cfe2a45aa4bf","396d5f30-dea9-11db-8ab4-b8a03c50a862","NL","DWC_ARCHIVE","2024-07-18T22:01:52.868+00:00","2024-07-18T23:54:44.394+00:00",270,"PRESERVED_SPECIMEN","PRESENT",3188439,6,7707728,220,690,5014,3188438,3188439,3188439,"Octamyrtus pleiopetala Diels","Plantae","Tracheophyta","Myrtales","Myrtaceae","Octamyrtus","Octamyrtus pleiopetala","Octamyrtus","pleiopetala","SPECIES","ACCEPTED","NE","ASIA",NA,NA,NA,1992,10,NA,"1992-10-01/1992-10-31",275,305,NA,"2024-07-18T23:54:44.394+00:00",NA,"http://creativecommons.org/publicdomain/zero/1.0/",FALSE,"L.3927763@BRAHMS","none","none","0e919a55-08d3-4bd2-aec1-200858fafd92","0add23db-a8f7-4d15-95ad-4ed0c5c8a055",FALSE,NA,"Milliken W",NA,"Magnoliopsida","ID","none","none","ASIA","Indonesia","EUROPE","Naturalis Biodiversity Center","Milliken, W 1290","L.3927763@BRAHMS",NA,"Naturalis Biodiversity Center",NA,"FLORA OF WEST IRIAN. Snow Mountains region, E of the Baliem valley. Kab. Jayawijaya, Kec. Kurima, Vicinity of Ilamik village (1hr walk east of Pronggoli).",NA,NA,"Botany","2515171467",NA,"https://data.biodiversitydata.nl/naturalis/specimen/L.3927763",NA,NA,"L.3927763",NA,NA,NA,NA,NA,"Octamyrtus pleiopetala Diels","17abcf75-2f1e-46dd-bf75-a5b21dd02655",NA,"Plantae|Myrtales|Myrtaceae",-4.23333,139.33333,NA,"WGS84","ICN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://medialib.naturalis.nl/file/id/L.3927763/format/large"
"2516211599","Octamyrtus pleiopetala Diels","colmafu,inmafu","15f819bd-6612-4447-854b-14d12ee1022d","396d5f30-dea9-11db-8ab4-b8a03c50a862","65eb93af-41b8-4917-a5fc-cfe2a45aa4bf","396d5f30-dea9-11db-8ab4-b8a03c50a862","NL","DWC_ARCHIVE","2024-07-18T22:01:52.868+00:00","2024-07-18T23:54:19.214+00:00",270,"PRESERVED_SPECIMEN","PRESENT",3188439,6,7707728,220,690,5014,3188438,3188439,3188439,"Octamyrtus pleiopetala Diels","Plantae","Tracheophyta","Myrtales","Myrtaceae","Octamyrtus","Octamyrtus pleiopetala","Octamyrtus","pleiopetala","SPECIES","ACCEPTED","NE","ASIA","New Guinea",NA,NA,1991,5,15,"1991-05-15",135,135,NA,"2024-07-18T23:54:19.214+00:00",NA,"http://creativecommons.org/publicdomain/zero/1.0/",FALSE,"L.2518839@BRAHMS","none","none","0e919a55-08d3-4bd2-aec1-200858fafd92","0add23db-a8f7-4d15-95ad-4ed0c5c8a055",TRUE,NA,"Burley JS; Ismail",NA,"Magnoliopsida","ID","none","none","ASIA","Indonesia","EUROPE","Naturalis Biodiversity Center","Burley, JS; Ismail 4504","L.2518839@BRAHMS",NA,"Naturalis Biodiversity Center",NA,"Plants of New Guinea. Irian Jaya: Baliem valley; North of km 39 on Warnena- Passvalley road/path.",NA,NA,"Botany","2516211599",NA,"https://data.biodiversitydata.nl/naturalis/specimen/L.2518839",NA,NA,"L.2518839",NA,NA,NA,NA,NA,"Octamyrtus pleiopetala Diels","17abcf75-2f1e-46dd-bf75-a5b21dd02655",NA,"Plantae|Myrtales|Myrtaceae",-3.66667,139,NA,"WGS84","ICN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://medialib.naturalis.nl/file/id/L.2518839/format/large"
"2515263903","Octamyrtus pleiopetala Diels","colmafu,inmafu","15f819bd-6612-4447-854b-14d12ee1022d","396d5f30-dea9-11db-8ab4-b8a03c50a862","65eb93af-41b8-4917-a5fc-cfe2a45aa4bf","396d5f30-dea9-11db-8ab4-b8a03c50a862","NL","DWC_ARCHIVE","2024-07-18T22:01:52.868+00:00","2024-07-18T23:54:47.462+00:00",270,"PRESERVED_SPECIMEN","PRESENT",3188439,6,7707728,220,690,5014,3188438,3188439,3188439,"Octamyrtus pleiopetala Diels","Plantae","Tracheophyta","Myrtales","Myrtaceae","Octamyrtus","Octamyrtus pleiopetala","Octamyrtus","pleiopetala","SPECIES","ACCEPTED","NE","OCEANIA",NA,NA,NA,1991,7,31,"1991-07-31",212,212,NA,"2024-07-18T23:54:47.462+00:00",NA,"http://creativecommons.org/publicdomain/zero/1.0/",FALSE,"L.4147413@BRAHMS","none","none","0e919a55-08d3-4bd2-aec1-200858fafd92","0add23db-a8f7-4d15-95ad-4ed0c5c8a055",FALSE,NA,"Takeuchi WN",NA,"Magnoliopsida","PG","none","none","OCEANIA","Papua New Guinea","EUROPE","Naturalis Biodiversity Center","Takeuchi, WN 7223","L.4147413@BRAHMS",NA,"Naturalis Biodiversity Center",NA,"Plants of Papua New Guinea. Southern Highlands Province: ridge complex c. 20 km NW of Mendi.",NA,NA,"Botany","2515263903",NA,"https://data.biodiversitydata.nl/naturalis/specimen/L.4147413",NA,NA,"L.4147413",NA,NA,NA,NA,NA,"Octamyrtus pleiopetala Diels","17abcf75-2f1e-46dd-bf75-a5b21dd02655",NA,"Plantae|Myrtales|Myrtaceae",-6.11667,143.6,NA,"WGS84","ICN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://medialib.naturalis.nl/file/id/L.4147413/format/large"
"2516439754","Octamyrtus pleiopetala Diels","colmafu,inmafu","15f819bd-6612-4447-854b-14d12ee1022d","396d5f30-dea9-11db-8ab4-b8a03c50a862","65eb93af-41b8-4917-a5fc-cfe2a45aa4bf","396d5f30-dea9-11db-8ab4-b8a03c50a862","NL","DWC_ARCHIVE","2024-07-18T22:01:52.868+00:00","2024-07-18T23:54:19.245+00:00",270,"PRESERVED_SPECIMEN","PRESENT",3188439,6,7707728,220,690,5014,3188438,3188439,3188439,"Octamyrtus pleiopetala Diels","Plantae","Tracheophyta","Myrtales","Myrtaceae","Octamyrtus","Octamyrtus pleiopetala","Octamyrtus","pleiopetala","SPECIES","ACCEPTED","NE","OCEANIA","New Guinea",NA,NA,1989,3,11,"1989-03-11",70,70,NA,"2024-07-18T23:54:19.245+00:00",NA,"http://creativecommons.org/publicdomain/zero/1.0/",FALSE,"L.2518843@BRAHMS","none","none","0e919a55-08d3-4bd2-aec1-200858fafd92","0add23db-a8f7-4d15-95ad-4ed0c5c8a055",TRUE,NA,"Takeuchi WN",NA,"Magnoliopsida","PG","none","none","OCEANIA","Papua New Guinea","EUROPE","Naturalis Biodiversity Center","Takeuchi, WN 4502","L.2518843@BRAHMS",NA,"Naturalis Biodiversity Center",NA,"Plants of Papua New Gu8inea. Morobe Province; Manki range.",NA,NA,"Botany","2516439754",NA,"https://data.biodiversitydata.nl/naturalis/specimen/L.2518843",NA,NA,"L.2518843",NA,NA,NA,NA,NA,"Octamyrtus pleiopetala Diels","17abcf75-2f1e-46dd-bf75-a5b21dd02655",NA,"Plantae|Myrtales|Myrtaceae",-7.26667,146.6,NA,"WGS84","ICN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://medialib.naturalis.nl/file/id/L.2518843/format/large"
"2236092405","Octamyrtus pleiopetala Diels","ccm,gass84,osiic","821cc27a-e3bb-4bc5-ac34-89ada245069d","bc092ff0-02e4-11dc-991f-b8a03c50a862","b2ff19b5-d74f-40d2-82f1-ec5db01e8e31","bc092ff0-02e4-11dc-991f-b8a03c50a862","US","EML","2024-08-02T10:48:24.215+00:00","2024-08-02T12:40:01.742+00:00",403,"PRESERVED_SPECIMEN","PRESENT",3188439,6,7707728,220,690,5014,3188438,3188439,3188439,"Octamyrtus pleiopetala Diels","Plantae","Tracheophyta","Myrtales","Myrtaceae","Octamyrtus","Octamyrtus pleiopetala","Octamyrtus","pleiopetala","SPECIES","ACCEPTED","NE","ASIA",NA,NA,"Asia-Tropical, Papua New Guinea",1989,10,3,"1989-10-03",276,276,"2019-02-04T13:27:00.000+00:00","2024-08-02T12:40:01.742+00:00",NA,"http://creativecommons.org/publicdomain/zero/1.0/",FALSE,"http://n2t.net/ark:/65665/3c77140c7-86d1-4dcd-9532-66f3c2888aae","none","none","be5b9c72-e499-42b8-a5dc-c27505cf232e","151c91ba-a521-4735-8c11-5abf8db7fb67",FALSE,"NMNH Extant Biology","P. Katik & A. Kairo",NA,"Magnoliopsida","PG","none","none","OCEANIA","Papua New Guinea","NORTH_AMERICA",NA,"LAE64384","http://n2t.net/ark:/65665/3c77140c7-86d1-4dcd-9532-66f3c2888aae",NA,"urn:lsid:biocol.org:col:15463",NA,"[Hunstein Range]. East Sepik.",NA,NA,"US","2236092405",NA,"http://n2t.net/ark:/65665/3c77140c7-86d1-4dcd-9532-66f3c2888aae",NA,NA,"US 3338358","US",NA,NA,"urn:uuid:60e28f81-e634-4869-aa3e-732caed713c8",NA,"Octamyrtus pleiopetala Diels","99d66b6c-9087-452f-a9d4-f15f2c2d0e7e",1500,"Plantae, Dicotyledonae, Myrtales, Myrtaceae, Myrtoideae",-4.5,142.67,NA,"WGS84",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"http://n2t.net/ark:/65665/m3433590c1-d19c-4f3b-839d-ca03454afe8a"
