"key","scientificName","decimalLatitude","decimalLongitude","issues","datasetKey","publishingOrgKey","installationKey","hostingOrganizationKey","publishingCountry","protocol","lastCrawled","lastParsed","crawlId","basisOfRecord","occurrenceStatus","taxonKey","kingdomKey","phylumKey","classKey","orderKey","familyKey","genusKey","speciesKey","acceptedTaxonKey","acceptedScientificName","kingdom","phylum","order","family","genus","species","genericName","specificEpithet","taxonRank","taxonomicStatus","iucnRedListCategory","dateIdentified","coordinateUncertaintyInMeters","continent","stateProvince","year","month","day","eventDate","startDayOfYear","endDayOfYear","modified","lastInterpreted","references","isSequenced","identifier","facts","relations","isInCluster","datasetName","recordedBy","identifiedBy","geodeticDatum","class","countryCode","recordedByIDs","identifiedByIDs","gbifRegion","country","publishedByGbifRegion","rightsHolder","identifier.1","http...unknown.org.nick","verbatimEventDate","verbatimLocality","collectionCode","gbifID","occurrenceID","taxonID","catalogNumber","institutionCode","http...unknown.org.captive","identificationID","name","eventTime","informationWithheld","occurrenceRemarks","recordedByIDs.type","recordedByIDs.value","gadm","identifiedByIDs.type","identifiedByIDs.value","projectId","individualCount","elevation","elevationAccuracy","networkKeys","higherGeography","institutionKey","collectionKey","recordNumber","habitat","institutionID","nomenclaturalCode","locality","county","http...unknown.org.license","type","http...unknown.org.rightsHolder","ownerInstitutionCode","http...unknown.org.CatalogNumberNumeric","collectionID","identificationRemarks","verbatimElevation","establishmentMeans","degreeOfEstablishment","pathway","vernacularName","fieldNotes","eventRemarks","preparations","http...unknown.org.taxonRankID","disposition","taxonConceptID","http...unknown.org.species","higherClassification","verbatimTaxonRank","otherCatalogNumbers","associatedOccurrences","http...unknown.org.recordID","associatedTaxa","rights","http...unknown.org.recordEnteredBy","georeferencedBy","georeferenceVerificationStatus","georeferenceSources","locationRemarks","reproductiveCondition","municipality","bibliographicCitation","georeferenceRemarks","georeferenceProtocol","organismID","locationID","accessRights","materialSampleID","verbatimIdentification","eventID","typeStatus","typifiedName","previousIdentifications","samplingProtocol","verbatimCoordinateSystem","footprintSRS","media_url","license"
"4420434910","Ugni molinae Turcz.",-42.482464,-72.383286,"cdc","bf2a4bf0-5f31-11de-b67e-b8a03c50a862","98e934b0-5f31-11de-b67e-b8a03c50a862","f6fe707e-cced-4efc-b5dc-be4c91b8180a","98e934b0-5f31-11de-b67e-b8a03c50a862","GB","DWC_ARCHIVE","2024-07-30T17:04:47.051+00:00","2024-07-30T17:32:14.953+00:00",347,"PRESERVED_SPECIMEN","PRESENT",3185043,6,7707728,220,690,5014,3185042,3185043,3185043,"Ugni molinae Turcz.","Plantae","Tracheophyta","Myrtales","Myrtaceae","Ugni","Ugni molinae","Ugni","molinae","SPECIES","ACCEPTED","NE",NA,NA,"SOUTH_AMERICA","Los Lagos",2022,2,19,"2022-02-19",50,50,NA,"2024-07-30T17:32:14.953+00:00",NA,FALSE,"https://data.rbge.org.uk/herb/E01080625","none","none",FALSE,"Edinburgh (E) Herbarium Specimens (selected by filtering by barcode starts with E)",NA,NA,"WGS84","Magnoliopsida","CL","none","none","LATIN_AMERICA","Chile","EUROPE",NA,"https://data.rbge.org.uk/herb/E01080625",NA,"19th February 2022",NA,"E","4420434910","https://data.rbge.org.uk/herb/E01080625",NA,"E01080625","RBGE",NA,NA,"Ugni molinae Turcz.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"17abcf75-2f1e-46dd-bf75-a5b21dd02655","Temperate South America","0237598a-853a-492c-af74-a723fe251799","e2714a5f-7035-47ae-8dcd-f50e40067cdc","67","Vegetación ribereña con suelo muy rocoso y sedimentos arenosos.","https://scientific-collections.gbif.org/institution/0237598a-853a-492c-af74-a723fe251799","ICBN","CHILE. Región de Los Lagos. Provincia de Palena. Comuna de Hualaihué. Vodudahue.","Palena","CC0","PhysicalObject","Royal Botanic Garden Edinburgh","E","1237852","https://scientific-collections.gbif.org/collection/427c8cd7-4358-4a00-9ef3-2b2676d28d1e",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://iiif.rbge.org.uk/herb/iiif/E01080625/manifest","http://creativecommons.org/licenses/by/4.0/"
"665710940","Ugni molinae Turcz.",-41.173611,-72.561111,"cdc","bf2a4bf0-5f31-11de-b67e-b8a03c50a862","98e934b0-5f31-11de-b67e-b8a03c50a862","f6fe707e-cced-4efc-b5dc-be4c91b8180a","98e934b0-5f31-11de-b67e-b8a03c50a862","GB","DWC_ARCHIVE","2024-07-30T17:04:47.051+00:00","2024-07-30T17:32:06.119+00:00",347,"PRESERVED_SPECIMEN","PRESENT",3185043,6,7707728,220,690,5014,3185042,3185043,3185043,"Ugni molinae Turcz.","Plantae","Tracheophyta","Myrtales","Myrtaceae","Ugni","Ugni molinae","Ugni","molinae","SPECIES","ACCEPTED","NE",NA,NA,"SOUTH_AMERICA","Los Lagos",2012,3,20,"2012-03-20",80,80,NA,"2024-07-30T17:32:06.119+00:00",NA,FALSE,"https://data.rbge.org.uk/herb/E00593041","none","none",TRUE,"Edinburgh (E) Herbarium Specimens (selected by filtering by barcode starts with E)",NA,NA,"WGS84","Magnoliopsida","CL","none","none","LATIN_AMERICA","Chile","EUROPE",NA,"https://data.rbge.org.uk/herb/E00593041",NA,"20th March 2012",NA,"E","665710940","https://data.rbge.org.uk/herb/E00593041",NA,"E00593041","RBGE",NA,NA,"Ugni molinae Turcz.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,102,0,"17abcf75-2f1e-46dd-bf75-a5b21dd02655","Temperate South America","0237598a-853a-492c-af74-a723fe251799","e2714a5f-7035-47ae-8dcd-f50e40067cdc","17","Lava flows dominated by Eucryphia cordifolia,  Embothrium coccineum, Nothofagus dombeyi and Gevuina avellana with Raukaua laetivirens and Tepualia stipularis","https://scientific-collections.gbif.org/institution/0237598a-853a-492c-af74-a723fe251799","ICBN","Chile:Región X [Los Lagos]:Provincia de Puerto Montt:Comuna de Puerto Varas:Road from Las Cascadas to Ensenada",NA,"CC0","PhysicalObject","Royal Botanic Garden Edinburgh","E","587298","https://scientific-collections.gbif.org/collection/427c8cd7-4358-4a00-9ef3-2b2676d28d1e",NA,"102m",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://iiif.rbge.org.uk/herb/iiif/E00593041/manifest","http://creativecommons.org/licenses/by/4.0/"
"2270559267","Ugni molinae Turcz.",-36.809958,-73.060333,"cdc,gass84,rdativ,colmafu,inmafu","e05fd4c2-4d77-4c50-880e-1b22096af300","814cdfb5-d4f8-4453-815f-ea5df98e76bf","ac2ad091-91eb-482d-a73f-061744da5dbf","96710dc8-fecb-440d-ae3e-c34ae8a9616f","US","DWC_ARCHIVE","2024-08-01T19:50:53.747+00:00","2024-08-01T20:02:16.197+00:00",276,"PRESERVED_SPECIMEN","PRESENT",3185043,6,7707728,220,690,5014,3185042,3185043,3185043,"Ugni molinae Turcz.","Plantae","Tracheophyta","Myrtales","Myrtaceae","Ugni","Ugni molinae","Ugni","molinae","SPECIES","ACCEPTED","NE",NA,NA,"SOUTH_AMERICA","Biobio",2006,3,18,"2006-03-18",77,77,"2023-07-16T07:02:03.000+00:00","2024-08-01T20:02:16.197+00:00","https://swbiodiversity.org/seinet/collections/individual/index.php?occid=3101992",FALSE,"3101992","none","none",FALSE,NA,"L. R. Landrum",NA,"WGS84","Magnoliopsida","CL","none","none","LATIN_AMERICA","Chile","NORTH_AMERICA",NA,"3101992",NA,NA,NA,"Plants","2270559267","cc4088c7-34ef-45c1-b7e6-cc1fc25491de","33952","ASU0030512","ASU",NA,NA,"Ugni molinae Turcz.",NA,NA,"Shrub.",NA,NA,NA,NA,NA,NA,NA,25,5,NA,NA,"530c45d0-e0f7-401d-b3f6-34f58482c485","0bbd7d8f-706c-4e2a-9505-58b142356450","11105","Small hill. Remnant of natural vegetation, highly disturbed.",NA,NA,"Concepcion. Concepcion, Villa Anibal Pinto.",NA,NA,NA,NA,NA,NA,"a2e32c87-d320-4a01-bafd-a9182ae2e191",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Malvids|Rosids|Myrtales|Myrtaceae|Ugni",NA,"259709","herbariumSpecimenDuplicate: https://swbiodiversity.org/seinet/collections/individual/index.php?guid=472f31f7-2bef-4411-b5ef-491903b91374","cc4088c7-34ef-45c1-b7e6-cc1fc25491de","ecologicallyOccursWith: Peumus boldus|ecologicallyOccursWith: Myrceugenia obtusa|ecologicallyOccursWith: Ugni molinae|ecologicallyOccursWith: Chusquea|ecologicallyOccursWith: Luma apiculata","http://creativecommons.org/licenses/by-nc/3.0/","alorozco",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://swbiodiversity.org/imglib/h_seinet/seinet/ASU/ASU0030/ASU0030512_lg.jpg","http://creativecommons.org/licenses/by/4.0/"
"574956094","Ugni molinae Turcz.",-39.793889,-73.285833,"cdc","bf2a4bf0-5f31-11de-b67e-b8a03c50a862","98e934b0-5f31-11de-b67e-b8a03c50a862","f6fe707e-cced-4efc-b5dc-be4c91b8180a","98e934b0-5f31-11de-b67e-b8a03c50a862","GB","DWC_ARCHIVE","2024-07-30T17:04:47.051+00:00","2024-07-30T17:31:58.165+00:00",347,"PRESERVED_SPECIMEN","PRESENT",3185043,6,7707728,220,690,5014,3185042,3185043,3185043,"Ugni molinae Turcz.","Plantae","Tracheophyta","Myrtales","Myrtaceae","Ugni","Ugni molinae","Ugni","molinae","SPECIES","ACCEPTED","NE",NA,NA,"SOUTH_AMERICA","Los Ríos",2003,1,18,"2003-01-18",18,18,NA,"2024-07-30T17:31:58.165+00:00",NA,FALSE,"https://data.rbge.org.uk/herb/E00131999","none","none",FALSE,"Edinburgh (E) Herbarium Specimens (selected by filtering by barcode starts with E)",NA,NA,"WGS84","Magnoliopsida","CL","none","none","LATIN_AMERICA","Chile","EUROPE",NA,"https://data.rbge.org.uk/herb/E00131999",NA,"18th January 2003",NA,"E","574956094","https://data.rbge.org.uk/herb/E00131999",NA,"E00131999","RBGE",NA,NA,"Ugni molinae Turcz.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,294,0,"17abcf75-2f1e-46dd-bf75-a5b21dd02655","Temperate South America","0237598a-853a-492c-af74-a723fe251799","e2714a5f-7035-47ae-8dcd-f50e40067cdc","2","Shrubby roadside verge with mainly introduced species and surrounded by Pinus radiata and Eucalyptus globulus plantation.","https://scientific-collections.gbif.org/institution/0237598a-853a-492c-af74-a723fe251799","ICBN","Chile:Región XIV [Los Ríos]:Prov. de Valdivia:Valdivia:Road to Curiñanco on the way to Parque Oncol","Valdivia","CC0","PhysicalObject","Royal Botanic Garden Edinburgh","E","168983","https://scientific-collections.gbif.org/collection/427c8cd7-4358-4a00-9ef3-2b2676d28d1e",NA,"294m",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://iiif.rbge.org.uk/herb/iiif/E00131999/manifest","http://creativecommons.org/licenses/by/4.0/"
"575157952","Ugni molinae Turcz.",-40.450833,-73.613889,"cdc","bf2a4bf0-5f31-11de-b67e-b8a03c50a862","98e934b0-5f31-11de-b67e-b8a03c50a862","f6fe707e-cced-4efc-b5dc-be4c91b8180a","98e934b0-5f31-11de-b67e-b8a03c50a862","GB","DWC_ARCHIVE","2024-07-30T17:04:47.051+00:00","2024-07-30T17:31:57.426+00:00",347,"PRESERVED_SPECIMEN","PRESENT",3185043,6,7707728,220,690,5014,3185042,3185043,3185043,"Ugni molinae Turcz.","Plantae","Tracheophyta","Myrtales","Myrtaceae","Ugni","Ugni molinae","Ugni","molinae","SPECIES","ACCEPTED","NE",NA,NA,"SOUTH_AMERICA","Los Lagos",1998,2,10,"1998-02-10",41,41,NA,"2024-07-30T17:31:57.426+00:00",NA,FALSE,"https://data.rbge.org.uk/herb/E00096081","none","none",FALSE,"Edinburgh (E) Herbarium Specimens (selected by filtering by barcode starts with E)",NA,NA,"WGS84","Magnoliopsida","CL","none","none","LATIN_AMERICA","Chile","EUROPE",NA,"https://data.rbge.org.uk/herb/E00096081",NA,"10th February 1998",NA,"E","575157952","https://data.rbge.org.uk/herb/E00096081",NA,"E00096081","RBGE",NA,NA,"Ugni molinae Turcz.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,140,0,"17abcf75-2f1e-46dd-bf75-a5b21dd02655","Temperate South America","0237598a-853a-492c-af74-a723fe251799","e2714a5f-7035-47ae-8dcd-f50e40067cdc","199","Heavily grazed rainforest regeneration.","https://scientific-collections.gbif.org/institution/0237598a-853a-492c-af74-a723fe251799","ICBN","Chile:Región X [Los Lagos]:Prov. de Osorno:Community of Trafunco",NA,"CC0","PhysicalObject","Royal Botanic Garden Edinburgh","E","67620","https://scientific-collections.gbif.org/collection/427c8cd7-4358-4a00-9ef3-2b2676d28d1e",NA,"140m",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://iiif.rbge.org.uk/herb/iiif/E00096081/manifest","http://creativecommons.org/licenses/by/4.0/"
"575314114","Ugni molinae Turcz.",-42.65,-74.116667,"cdc","bf2a4bf0-5f31-11de-b67e-b8a03c50a862","98e934b0-5f31-11de-b67e-b8a03c50a862","f6fe707e-cced-4efc-b5dc-be4c91b8180a","98e934b0-5f31-11de-b67e-b8a03c50a862","GB","DWC_ARCHIVE","2024-07-30T17:04:47.051+00:00","2024-07-30T17:31:56.806+00:00",347,"PRESERVED_SPECIMEN","PRESENT",3185043,6,7707728,220,690,5014,3185042,3185043,3185043,"Ugni molinae Turcz.","Plantae","Tracheophyta","Myrtales","Myrtaceae","Ugni","Ugni molinae","Ugni","molinae","SPECIES","ACCEPTED","NE",NA,NA,"SOUTH_AMERICA","Los Lagos",1996,2,19,"1996-02-19",50,50,NA,"2024-07-30T17:31:56.806+00:00",NA,FALSE,"https://data.rbge.org.uk/herb/E00043965","none","none",FALSE,"Edinburgh (E) Herbarium Specimens (selected by filtering by barcode starts with E)",NA,NA,"WGS84","Magnoliopsida","CL","none","none","LATIN_AMERICA","Chile","EUROPE",NA,"https://data.rbge.org.uk/herb/E00043965",NA,"19th February 1996",NA,"E","575314114","https://data.rbge.org.uk/herb/E00043965",NA,"E00043965","RBGE",NA,NA,"Ugni molinae Turcz.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,0,"17abcf75-2f1e-46dd-bf75-a5b21dd02655","Temperate South America","0237598a-853a-492c-af74-a723fe251799","e2714a5f-7035-47ae-8dcd-f50e40067cdc","238","Shrubby coastal community 1 km inland, dominated by Rhaphithamnus spinosus, Ugni molinae, Fuchsia magellanica, Ovidia pillo-pillo and Gunnera tinctori..","https://scientific-collections.gbif.org/institution/0237598a-853a-492c-af74-a723fe251799","ICBN","Chile:Región X [Los Lagos]:Chiloé:Chonchi:Coast north of Cucao","Chiloé","CC0","PhysicalObject","Royal Botanic Garden Edinburgh","E","18375","https://scientific-collections.gbif.org/collection/427c8cd7-4358-4a00-9ef3-2b2676d28d1e",NA,"8m",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://iiif.rbge.org.uk/herb/iiif/E00043965/full/300,/0/default.jpg","http://creativecommons.org/licenses/by/4.0/"
"575102259","Ugni molinae Turcz.",-35.416667,-72.466667,"cdc","bf2a4bf0-5f31-11de-b67e-b8a03c50a862","98e934b0-5f31-11de-b67e-b8a03c50a862","f6fe707e-cced-4efc-b5dc-be4c91b8180a","98e934b0-5f31-11de-b67e-b8a03c50a862","GB","DWC_ARCHIVE","2024-07-30T17:04:47.051+00:00","2024-07-30T17:31:55.918+00:00",347,"PRESERVED_SPECIMEN","PRESENT",3185043,6,7707728,220,690,5014,3185042,3185043,3185043,"Ugni molinae Turcz.","Plantae","Tracheophyta","Myrtales","Myrtaceae","Ugni","Ugni molinae","Ugni","molinae","SPECIES","ACCEPTED","NE",NA,NA,"SOUTH_AMERICA","Maule",1993,2,12,"1993-02-12",43,43,NA,"2024-07-30T17:31:55.918+00:00",NA,FALSE,"https://data.rbge.org.uk/herb/E00005934","none","none",FALSE,"Edinburgh (E) Herbarium Specimens (selected by filtering by barcode starts with E)",NA,NA,"WGS84","Magnoliopsida","CL","none","none","LATIN_AMERICA","Chile","EUROPE",NA,"https://data.rbge.org.uk/herb/E00005934",NA,"12th February 1993",NA,"E","575102259","https://data.rbge.org.uk/herb/E00005934",NA,"E00005934","RBGE",NA,NA,"Ugni molinae Turcz.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,0,"17abcf75-2f1e-46dd-bf75-a5b21dd02655","Temperate South America","0237598a-853a-492c-af74-a723fe251799","e2714a5f-7035-47ae-8dcd-f50e40067cdc","5505","Well vegetated coastal rocky cliffs.","https://scientific-collections.gbif.org/institution/0237598a-853a-492c-af74-a723fe251799","ICBN","Chile:Región VII [Maule]:Prov. de Talca:3 km South of Constitución on Highway 58.",NA,"CC0","PhysicalObject","Royal Botanic Garden Edinburgh","E","67244","https://scientific-collections.gbif.org/collection/427c8cd7-4358-4a00-9ef3-2b2676d28d1e",NA,"10m",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://iiif.rbge.org.uk/herb/iiif/E00005934/manifest","http://creativecommons.org/licenses/by/4.0/"
"2270679868","Ugni molinae Turcz.",-36.809755,-73.061024,"cdc,gass84,colmafu,inmafu","e05fd4c2-4d77-4c50-880e-1b22096af300","814cdfb5-d4f8-4453-815f-ea5df98e76bf","ac2ad091-91eb-482d-a73f-061744da5dbf","96710dc8-fecb-440d-ae3e-c34ae8a9616f","US","DWC_ARCHIVE","2024-08-01T19:50:53.747+00:00","2024-08-01T20:02:06.827+00:00",276,"PRESERVED_SPECIMEN","PRESENT",3185043,6,7707728,220,690,5014,3185042,3185043,3185043,"Ugni molinae Turcz.","Plantae","Tracheophyta","Myrtales","Myrtaceae","Ugni","Ugni molinae","Ugni","molinae","SPECIES","ACCEPTED","NE",NA,1000,"SOUTH_AMERICA","Biobio",1993,10,22,"1993-10-22",295,295,"2023-07-16T07:02:03.000+00:00","2024-08-01T20:02:06.827+00:00","https://swbiodiversity.org/seinet/collections/individual/index.php?occid=768257",FALSE,"768257","none","none",TRUE,NA,"L. R. Landrum",NA,"WGS84","Magnoliopsida","CL","none","none","LATIN_AMERICA","Chile","NORTH_AMERICA",NA,"768257",NA,NA,NA,"Plants","2270679868","3d4867bc-9c4f-403c-88cc-3cbed1fe7177","33952","ASU0030497","ASU",NA,NA,"Ugni molinae Turcz.",NA,NA,"Shrub ca. 2m high.",NA,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,"530c45d0-e0f7-401d-b3f6-34f58482c485","0bbd7d8f-706c-4e2a-9505-58b142356450","7968","Remnant of natural vegetation with shrubs.",NA,NA,"Hill in Villa Anibal Pinto ca. 1km W of the central plaza of Cencepcion",NA,NA,NA,NA,NA,NA,"a2e32c87-d320-4a01-bafd-a9182ae2e191",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Malvids|Rosids|Myrtales|Myrtaceae|Ugni",NA,"191627",NA,"3d4867bc-9c4f-403c-88cc-3cbed1fe7177","ecologicallyOccursWith: Myrceugenia|ecologicallyOccursWith: Peumus|ecologicallyOccursWith: Cryptocarya|ecologicallyOccursWith: Rubus|ecologicallyOccursWith: Chusquea","http://creativecommons.org/licenses/by-nc/3.0/","marisin","Landrum","reviewed - high confidence","GE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://swbiodiversity.org/imglib/h_seinet/seinet/ASU/ASU0030/ASU0030497_lg.jpg","http://creativecommons.org/licenses/by/4.0/"
"575301414","Ugni molinae Turcz.",-40.15,-72.666667,"cdc","bf2a4bf0-5f31-11de-b67e-b8a03c50a862","98e934b0-5f31-11de-b67e-b8a03c50a862","f6fe707e-cced-4efc-b5dc-be4c91b8180a","98e934b0-5f31-11de-b67e-b8a03c50a862","GB","DWC_ARCHIVE","2024-07-30T17:04:47.051+00:00","2024-07-30T17:31:55.844+00:00",347,"PRESERVED_SPECIMEN","PRESENT",3185043,6,7707728,220,690,5014,3185042,3185043,3185043,"Ugni molinae Turcz.","Plantae","Tracheophyta","Myrtales","Myrtaceae","Ugni","Ugni molinae","Ugni","molinae","SPECIES","ACCEPTED","NE",NA,NA,"SOUTH_AMERICA","Los Ríos",1992,2,23,"1992-02-23",54,54,NA,"2024-07-30T17:31:55.844+00:00",NA,FALSE,"https://data.rbge.org.uk/herb/E00005949","none","none",FALSE,"Edinburgh (E) Herbarium Specimens (selected by filtering by barcode starts with E)",NA,NA,"WGS84","Magnoliopsida","CL","none","none","LATIN_AMERICA","Chile","EUROPE",NA,"https://data.rbge.org.uk/herb/E00005949",NA,"23rd February 1992",NA,"E","575301414","https://data.rbge.org.uk/herb/E00005949",NA,"E00005949","RBGE",NA,NA,"Ugni molinae Turcz.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,0,"17abcf75-2f1e-46dd-bf75-a5b21dd02655","Temperate South America","0237598a-853a-492c-af74-a723fe251799","e2714a5f-7035-47ae-8dcd-f50e40067cdc","5060","Roadside plant community.","https://scientific-collections.gbif.org/institution/0237598a-853a-492c-af74-a723fe251799","ICBN","Chile:Región X [Los Lagos]:Prov. de Valdivia:La Unión:Hueicolla on road to Agua Negro.","Ranco","CC0","PhysicalObject","Royal Botanic Garden Edinburgh","E","67247","https://scientific-collections.gbif.org/collection/427c8cd7-4358-4a00-9ef3-2b2676d28d1e",NA,"30m",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://iiif.rbge.org.uk/herb/iiif/E00005949/full/300,/0/default.jpg","http://creativecommons.org/licenses/by/4.0/"
"2270679615","Ugni molinae Turcz.",-36.809755,-73.061024,"cdc,gass84,colmafu,inmafu","e05fd4c2-4d77-4c50-880e-1b22096af300","814cdfb5-d4f8-4453-815f-ea5df98e76bf","ac2ad091-91eb-482d-a73f-061744da5dbf","96710dc8-fecb-440d-ae3e-c34ae8a9616f","US","DWC_ARCHIVE","2024-08-01T19:50:53.747+00:00","2024-08-01T20:02:06.919+00:00",276,"PRESERVED_SPECIMEN","PRESENT",3185043,6,7707728,220,690,5014,3185042,3185043,3185043,"Ugni molinae Turcz.","Plantae","Tracheophyta","Myrtales","Myrtaceae","Ugni","Ugni molinae","Ugni","molinae","SPECIES","ACCEPTED","NE",NA,1000,"SOUTH_AMERICA","Biobio",1991,10,15,"1991-10-15",288,288,"2023-07-16T07:02:03.000+00:00","2024-08-01T20:02:06.919+00:00","https://swbiodiversity.org/seinet/collections/individual/index.php?occid=768258",FALSE,"768258","none","none",TRUE,NA,"L. R. Landrum",NA,"WGS84","Magnoliopsida","CL","none","none","LATIN_AMERICA","Chile","NORTH_AMERICA",NA,"768258",NA,NA,NA,"Plants","2270679615","b7a5be2c-7f21-4cc1-bcee-2eecc2676039","33952","ASU0030502","ASU",NA,NA,"Ugni molinae Turcz.",NA,NA,"Shrub ca, 1m high.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"530c45d0-e0f7-401d-b3f6-34f58482c485","0bbd7d8f-706c-4e2a-9505-58b142356450","7585","Shrubby vegetation.",NA,NA,"Small hill behind Villa Anibal Pinto, ca. 1km NW of the central plaza of Concepcion.",NA,NA,NA,NA,NA,NA,"a2e32c87-d320-4a01-bafd-a9182ae2e191",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Malvids|Rosids|Myrtales|Myrtaceae|Ugni",NA,"184469",NA,"b7a5be2c-7f21-4cc1-bcee-2eecc2676039","ecologicallyOccursWith: Luma|ecologicallyOccursWith: Myrceugenia|ecologicallyOccursWith: Peumus|ecologicallyOccursWith: Azara","http://creativecommons.org/licenses/by-nc/3.0/","marisin","Landrum","reviewed - high confidence","GE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://swbiodiversity.org/imglib/h_seinet/seinet/ASU/ASU0030/ASU0030502_lg.jpg","http://creativecommons.org/licenses/by/4.0/"
"4073264635","Ugni molinae Turcz.",-33.616667,-78.883333,"cdc,gass84","b740eaa0-0679-41dc-acb7-990d562dfa37","a344ee9f-f1b7-4761-be2c-58ee6d741395","4c5fccfd-c052-42ec-97ab-a4657ec27751","a344ee9f-f1b7-4761-be2c-58ee6d741395","BE","EML","2024-06-18T08:41:46.137+00:00","2024-06-18T09:36:47.368+00:00",308,"PRESERVED_SPECIMEN","PRESENT",3185043,6,7707728,220,690,5014,3185042,3185043,3185043,"Ugni molinae Turcz.","Plantae","Tracheophyta","Myrtales","Myrtaceae","Ugni","Ugni molinae","Ugni","molinae","SPECIES","ACCEPTED","NE",NA,NA,"SOUTH_AMERICA",NA,1991,11,26,"1991-11-26",330,330,"2022-12-25T00:00:00.000+00:00","2024-06-18T09:36:47.368+00:00",NA,FALSE,"http://www.botanicalcollections.be/specimen/BR0000030863910","none","none",FALSE,"Meise Botanic Garden Herbarium","Billiet F. & Jadin B.",NA,"WGS84","Magnoliopsida","CL","none","none","LATIN_AMERICA","Chile","EUROPE","Meise Botanic Garden","http://www.botanicalcollections.be/specimen/BR0000030863910",NA,"[26/11/1991]",NA,"BR","4073264635","http://www.botanicalcollections.be/specimen/BR0000030863910",NA,"BR0000030863910","MeiseBG",NA,NA,"Ugni molinae Turcz.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"17abcf75-2f1e-46dd-bf75-a5b21dd02655",NA,"3b896e03-901d-4cc7-ac2b-61e0469521b0","6416a67f-3c3e-495c-8998-568f64249178","5682",NA,"http://biocol.org/urn:lsid:biocol.org:col:15605","ICBN","Nord du Chili; Région, Province: archipel Juan Fernandez; île Robinson Crusoë, quebrada La Vaqueria",NA,NA,"PhysicalObject",NA,NA,NA,"gbif:ih:irn:124997",NA,NA,NA,NA,NA,NA,NA,NA,"HerbariumSheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Country: Chili",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://oxalis.br.fgov.be/images/BR0/000/030/863/910/BR0000030863910.jpg","http://creativecommons.org/licenses/by/4.0/"
