"key","scientificName","decimalLatitude","decimalLongitude","issues","datasetKey","publishingOrgKey","installationKey","hostingOrganizationKey","publishingCountry","protocol","lastCrawled","lastParsed","crawlId","basisOfRecord","occurrenceStatus","taxonKey","kingdomKey","phylumKey","classKey","orderKey","familyKey","genusKey","speciesKey","acceptedTaxonKey","acceptedScientificName","kingdom","phylum","order","family","genus","species","genericName","specificEpithet","taxonRank","taxonomicStatus","iucnRedListCategory","continent","stateProvince","year","month","day","eventDate","startDayOfYear","endDayOfYear","lastInterpreted","isSequenced","identifier","facts","relations","isInCluster","recordedBy","identifiedBy","geodeticDatum","class","countryCode","recordedByIDs","identifiedByIDs","gbifRegion","country","publishedByGbifRegion","recordNumber","identifier.1","http...unknown.org.taxonRankID","dynamicProperties","identificationVerificationStatus","gbifID","occurrenceID","taxonRemarks","vernacularName","taxonConceptID","http...unknown.org.species","occurrenceRemarks","name","coordinateUncertaintyInMeters","higherGeography","modified","institutionKey","collectionKey","preparations","habitat","nomenclaturalCode","georeferenceProtocol","locality","county","collectionCode","type","catalogNumber","institutionCode","higherClassification","reproductiveCondition","dateIdentified","elevation","eventRemarks","establishmentMeans","otherCatalogNumbers","verbatimCoordinateSystem","disposition","verbatimElevation","verbatimTaxonRank","networkKeys","rightsHolder","institutionID","identificationRemarks","gadm","typeStatus","verbatimEventDate","media_url","license"
"2825403903","Uromyrtus metrosideros (F.M.Bailey) A.J.Scott",-16.2461,145.0257,"cdc,colmafu,inmafu","5d7f5915-0561-4107-aa20-20a4267c203f","96835ce2-d3af-4f6e-af81-faa0c7576fa4","19893c10-381e-4534-9bb8-6c37d03ad29e","3c5e4331-7f2f-4a8d-aa56-81ece7014fc8","AU","DWC_ARCHIVE","2024-06-19T02:32:59.476+00:00","2024-06-19T04:59:15.717+00:00",318,"PRESERVED_SPECIMEN","PRESENT",3180410,6,7707728,220,690,5014,3180375,3180410,3180410,"Uromyrtus metrosideros (F.M.Bailey) A.J.Scott","Plantae","Tracheophyta","Myrtales","Myrtaceae","Uromyrtus","Uromyrtus metrosideros","Uromyrtus","metrosideros","SPECIES","ACCEPTED","NE","OCEANIA","Queensland",2018,11,21,"2018-11-21",325,325,"2024-06-19T04:59:15.717+00:00",FALSE,"e95f31c2-cd89-47fc-8e9f-b795d86fd183","none","none",FALSE,"Fensham, R.J.",NA,"WGS84","Magnoliopsida","AU","none","none","OCEANIA","Australia","OCEANIA","6920","e95f31c2-cd89-47fc-8e9f-b795d86fd183","7000",NA,NA,"2825403903","e95f31c2-cd89-47fc-8e9f-b795d86fd183",NA,"Mountain Malletwood","https://id.biodiversity.org.au/node/apni/8499616","Uromyrtus metrosideros","Small tree.","Uromyrtus metrosideros (F.M.Bailey) A.J.Scott",50,"Australia, Queensland, Cook","2021-09-23T08:50:16.000+00:00","a79d773e-d540-4a63-bf13-3892b10581c8","96b0cded-0297-4de7-8917-2911806bb028","Sheet","Rainforest.","ICN","GPS","Windsor Tableland.","Cook","Herbrecs","PhysicalObject","BRI AQ1002465","BRI","Plantae | Viridaeplantae | Streptophyta | Equisetopsida | Magnoliidae | Rosanae | Myrtales | Myrtaceae | Uromyrtus","Flowers and buds",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://images.ala.org.au/image/proxyImageThumbnailLarge?imageId=9c28f89d-1631-4c70-8d38-6c3055424a18","http://creativecommons.org/licenses/by/4.0/"
"2418570125","Uromyrtus metrosideros (F.M.Bailey) A.J.Scott",-17.025,145.641667,"cdc,colmafu,inmafu","5d7f5915-0561-4107-aa20-20a4267c203f","96835ce2-d3af-4f6e-af81-faa0c7576fa4","19893c10-381e-4534-9bb8-6c37d03ad29e","3c5e4331-7f2f-4a8d-aa56-81ece7014fc8","AU","DWC_ARCHIVE","2024-06-19T02:32:59.476+00:00","2024-06-19T04:58:43.290+00:00",318,"PRESERVED_SPECIMEN","PRESENT",3180410,6,7707728,220,690,5014,3180375,3180410,3180410,"Uromyrtus metrosideros (F.M.Bailey) A.J.Scott","Plantae","Tracheophyta","Myrtales","Myrtaceae","Uromyrtus","Uromyrtus metrosideros","Uromyrtus","metrosideros","SPECIES","ACCEPTED","NE","OCEANIA","Queensland",2009,1,26,"2009-01-26",26,26,"2024-06-19T04:58:43.290+00:00",FALSE,"49e58cae-8143-471e-a7bc-cd27c28cc4c1","none","none",FALSE,"Costion, C.",NA,"WGS84","Magnoliopsida","AU","none","none","OCEANIA","Australia","OCEANIA","1678","49e58cae-8143-471e-a7bc-cd27c28cc4c1","7000",NA,NA,"2418570125","49e58cae-8143-471e-a7bc-cd27c28cc4c1",NA,"Mountain Malletwood","https://id.biodiversity.org.au/node/apni/8499616","Uromyrtus metrosideros","Growing as a shrub or stunted tree on the summit.  Leaves with spendid smell.  Corolla white, anthers pink-reddish, flowers with sweet smell like apple blossoms or honey.","Uromyrtus metrosideros (F.M.Bailey) A.J.Scott",2000,"Australia, Queensland, Cook","2022-08-17T09:44:32.000+00:00","a79d773e-d540-4a63-bf13-3892b10581c8","96b0cded-0297-4de7-8917-2911806bb028","Sheet","Rock outcrop near summit.","ICN","Label","Kahlpahlim Rock trail to Lambs Head at the end of Davies Creek Road.","Cook","Herbrecs","PhysicalObject","BRI AQ0849796","BRI","Plantae | Viridaeplantae | Streptophyta | Equisetopsida | Magnoliidae | Rosanae | Myrtales | Myrtaceae | Uromyrtus","Fruit","2014-09-01T00:00:00",1200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://images.ala.org.au/image/proxyImageThumbnailLarge?imageId=eab24c87-6de3-4f84-a561-54b05162a255","http://creativecommons.org/licenses/by/4.0/"
"2418649153","Uromyrtus metrosideros (F.M.Bailey) A.J.Scott",-17.264444,145.858333,"cdc,colmafu,inmafu","5d7f5915-0561-4107-aa20-20a4267c203f","96835ce2-d3af-4f6e-af81-faa0c7576fa4","19893c10-381e-4534-9bb8-6c37d03ad29e","3c5e4331-7f2f-4a8d-aa56-81ece7014fc8","AU","DWC_ARCHIVE","2024-06-19T02:32:59.476+00:00","2024-06-19T04:58:51.245+00:00",318,"PRESERVED_SPECIMEN","PRESENT",3180410,6,7707728,220,690,5014,3180375,3180410,3180410,"Uromyrtus metrosideros (F.M.Bailey) A.J.Scott","Plantae","Tracheophyta","Myrtales","Myrtaceae","Uromyrtus","Uromyrtus metrosideros","Uromyrtus","metrosideros","SPECIES","ACCEPTED","NE","OCEANIA","Queensland",2009,10,20,"2009-10-20",293,293,"2024-06-19T04:58:51.245+00:00",FALSE,"6b86c81d-f598-4384-bdd6-c8b821d5dbfd","none","none",TRUE,"Zich, F.A.|Harrington, M.",NA,"WGS84","Magnoliopsida","AU","none","none","OCEANIA","Australia","OCEANIA","654","6b86c81d-f598-4384-bdd6-c8b821d5dbfd","7000",NA,NA,"2418649153","6b86c81d-f598-4384-bdd6-c8b821d5dbfd",NA,"Mountain Malletwood","https://id.biodiversity.org.au/node/apni/8499616","Uromyrtus metrosideros","Shrub 2m tall.","Uromyrtus metrosideros (F.M.Bailey) A.J.Scott",100,"Australia, Queensland, Cook","2021-09-13T08:42:55.000+00:00","a79d773e-d540-4a63-bf13-3892b10581c8","96b0cded-0297-4de7-8917-2911806bb028","Sheet","Low rainforest dominated by Balanops.","ICN","Label","Mount Bellenden Ker, between towers 8 and 7.","Cook","Herbrecs","PhysicalObject","BRI AQ0848942","BRI","Plantae | Viridaeplantae | Streptophyta | Equisetopsida | Magnoliidae | Rosanae | Myrtales | Myrtaceae | Uromyrtus","Buds",NA,1475,"Buds present.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://images.ala.org.au/image/proxyImageThumbnailLarge?imageId=c9c0e787-ff99-41d3-9db4-bbb428ec1e9b","http://creativecommons.org/licenses/by/4.0/"
"2827904724","Uromyrtus metrosideros (F.M.Bailey) A.J.Scott",-16.23,145,"cdc,colmafu,inmafu","07a54454-87c7-4e1e-b2ba-88a9d98d534b","0cbfea81-f7f6-43a7-a5bc-9b38898b505d","19893c10-381e-4534-9bb8-6c37d03ad29e","3c5e4331-7f2f-4a8d-aa56-81ece7014fc8","AU","DWC_ARCHIVE","2024-07-02T04:22:15.892+00:00","2024-07-02T07:40:36.403+00:00",227,"PRESERVED_SPECIMEN","PRESENT",3180410,6,7707728,220,690,5014,3180375,3180410,3180410,"Uromyrtus metrosideros (F.M.Bailey) A.J.Scott","Plantae","Tracheophyta","Myrtales","Myrtaceae","Uromyrtus","Uromyrtus metrosideros","Uromyrtus","metrosideros","SPECIES","ACCEPTED","NE","OCEANIA","Queensland",2004,6,3,"2004-06-03",155,155,"2024-07-02T07:40:36.403+00:00",FALSE,"4ff81aab-8a83-4c87-b02f-0ecf6aa3903e","none","none",FALSE,"Ford, A.|Hewett, B.",NA,"WGS84","Magnoliopsida","AU","none","none","OCEANIA","Australia","OCEANIA","04343","4ff81aab-8a83-4c87-b02f-0ecf6aa3903e","7000",NA,NA,"2827904724","4ff81aab-8a83-4c87-b02f-0ecf6aa3903e",NA,"Mountain Malletwood","https://id.biodiversity.org.au/node/apni/8499616","Uromyrtus metrosideros","Canopy tree 12 m. Bark rough, flaky. Coppices present. Leaves whitish below. Fruit green, immature. Occasional in area. This specimen has been used for Rain Forest CRC program 6.5.","Uromyrtus metrosideros (F.M.Bailey) A.J.Scott",NA,NA,"2021-07-23T19:00:40.000+00:00","bbd52eff-157b-4c0c-908c-1da4095d7c17","8115adac-2a60-4792-b67b-411865f3a16a","sheet","Simple microphyll vine-fern thicket on soil derived from granite. Canopy: Balanops, Pouteria euphlebia, Halfordia, Elaeocarpus spp., Syzygium wesa, Acmena hemilampra, Rhodmania blairiana, Flindersia acuminata & Gossia. Small trees/shrubs: Psychotria Danbulla, Polyosma reducta, Uromyrtus, Polyscias & Steganthera. Linospadix & Laccospadix uncommon, Cyathea rebeccae & Smilax common.","ICN",NA,"c. 5.7 km from Spencer Creek Forestry barracks, site 105. GR: 7965.867039, Mount Windsor Forest Reserve.","Cook","NSW","PhysicalObject","NSW684499","NSW","(F.M.Bailey) A.J.Scott",NA,NA,NA,NA,"native",NA,"Degrees Minutes","in collection","1300 m","species",NA,NA,NA,NA,NA,NA,NA,"https://images.ala.org.au/image/proxyImageThumbnailLarge?imageId=76d7f128-9482-47c9-9f71-7fd6bc7ace9c","http://creativecommons.org/licenses/by/4.0/"
"2418984240","Uromyrtus metrosideros (F.M.Bailey) A.J.Scott",-16.234152,145.005952,"cdc,colmafu,inmafu","5d7f5915-0561-4107-aa20-20a4267c203f","96835ce2-d3af-4f6e-af81-faa0c7576fa4","19893c10-381e-4534-9bb8-6c37d03ad29e","3c5e4331-7f2f-4a8d-aa56-81ece7014fc8","AU","DWC_ARCHIVE","2024-06-19T02:32:59.476+00:00","2024-06-19T04:59:18.126+00:00",318,"PRESERVED_SPECIMEN","PRESENT",3180410,6,7707728,220,690,5014,3180375,3180410,3180410,"Uromyrtus metrosideros (F.M.Bailey) A.J.Scott","Plantae","Tracheophyta","Myrtales","Myrtaceae","Uromyrtus","Uromyrtus metrosideros","Uromyrtus","metrosideros","SPECIES","ACCEPTED","NE","OCEANIA","Queensland",2004,6,3,"2004-06-03",155,155,"2024-06-19T04:59:18.126+00:00",FALSE,"fa1a12ed-f2ad-4d10-8485-e60551a67a2b","none","none",TRUE,"Ford, A.|Hewett, B.",NA,"WGS84","Magnoliopsida","AU","none","none","OCEANIA","Australia","OCEANIA","4343","fa1a12ed-f2ad-4d10-8485-e60551a67a2b","7000",NA,NA,"2418984240","fa1a12ed-f2ad-4d10-8485-e60551a67a2b",NA,"Mountain Malletwood","https://id.biodiversity.org.au/node/apni/8499616","Uromyrtus metrosideros","Canopy tree 12m high. Bark rough, flaky. Coppices present. Leaves whitish below. Fruit green, immature.","Uromyrtus metrosideros (F.M.Bailey) A.J.Scott",100,"Australia, Queensland, Cook","2021-09-13T08:42:49.000+00:00","a79d773e-d540-4a63-bf13-3892b10581c8","96b0cded-0297-4de7-8917-2911806bb028","Sheet","Canopy: Balanops, Pouteria euphlebia, Halfordia, Elaeocarpus spp., Syzygium wesa, Acmena hemilampra, Rhodamnia blairiana, Flindersia acuminata & Gossia.","ICN","Map","Mount Windsor Forest Reserve, c. 5.7km from Spencer Creek Forestry barracks, site 105. GR: 7965-867039.","Cook","Herbrecs","PhysicalObject","BRI AQ0648056","BRI","Plantae | Viridaeplantae | Streptophyta | Equisetopsida | Magnoliidae | Rosanae | Myrtales | Myrtaceae | Uromyrtus","Fruit",NA,1300,"Small trees/shrubs: Psychotria sp. Danbulla, Polysoma reducta, Uromyrtus, Polyscias & Steganthera. Linospadix & Laccospadix uncommon, Cyathea rebeccae & Smilax common.  Occasional in area.  Simple microphyll vine-fern thicket on soil derived from granite.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://images.ala.org.au/image/proxyImageThumbnailLarge?imageId=5a6ec6e6-a170-4f14-940c-c4aaa608c7fc","http://creativecommons.org/licenses/by/4.0/"
"2418654477","Uromyrtus metrosideros (F.M.Bailey) A.J.Scott",-17.263555,145.853865,"cdc,colmafu,inmafu","5d7f5915-0561-4107-aa20-20a4267c203f","96835ce2-d3af-4f6e-af81-faa0c7576fa4","19893c10-381e-4534-9bb8-6c37d03ad29e","3c5e4331-7f2f-4a8d-aa56-81ece7014fc8","AU","DWC_ARCHIVE","2024-06-19T02:32:59.476+00:00","2024-06-19T04:58:50.441+00:00",318,"PRESERVED_SPECIMEN","PRESENT",3180410,6,7707728,220,690,5014,3180375,3180410,3180410,"Uromyrtus metrosideros (F.M.Bailey) A.J.Scott","Plantae","Tracheophyta","Myrtales","Myrtaceae","Uromyrtus","Uromyrtus metrosideros","Uromyrtus","metrosideros","SPECIES","ACCEPTED","NE","OCEANIA","Queensland",2000,12,5,"2000-12-05",340,340,"2024-06-19T04:58:50.441+00:00",FALSE,"6dff52c1-18c0-4d74-9198-3279166e9deb","none","none",TRUE,"Forster, P.I.|Booth, R.|Jago, R.",NA,"WGS84","Magnoliopsida","AU","none","none","OCEANIA","Australia","OCEANIA","PIF26514","6dff52c1-18c0-4d74-9198-3279166e9deb","7000",NA,NA,"2418654477","6dff52c1-18c0-4d74-9198-3279166e9deb",NA,"Mountain Malletwood","https://id.biodiversity.org.au/node/apni/8499616","Uromyrtus metrosideros","Shrub to 2m high, flowers cream-pink.","Uromyrtus metrosideros (F.M.Bailey) A.J.Scott",100,"Australia, Queensland, Cook","2021-09-13T08:42:47.000+00:00","a79d773e-d540-4a63-bf13-3892b10581c8","96b0cded-0297-4de7-8917-2911806bb028","Ref sheet|Sheet|Spirit","Simple microphyll vineforest on granite.","ICN","GPS","Wooroonooran National Park,Mt Bellenden Ker summit area. 8063-780907","Cook","Herbrecs","PhysicalObject","BRI AQ0495165","BRI","Plantae | Viridaeplantae | Streptophyta | Equisetopsida | Magnoliidae | Rosanae | Myrtales | Myrtaceae | Uromyrtus","Flowers and buds",NA,1540,"Very common in area.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://images.ala.org.au/image/proxyImageThumbnailLarge?imageId=22e728b8-e087-486c-afc9-862eb73cebe0","http://creativecommons.org/licenses/by/4.0/"
"2418761536","Uromyrtus metrosideros (F.M.Bailey) A.J.Scott",-17.265131,145.853882,"cdc,colmafu,inmafu","5d7f5915-0561-4107-aa20-20a4267c203f","96835ce2-d3af-4f6e-af81-faa0c7576fa4","19893c10-381e-4534-9bb8-6c37d03ad29e","3c5e4331-7f2f-4a8d-aa56-81ece7014fc8","AU","DWC_ARCHIVE","2024-06-19T02:32:59.476+00:00","2024-06-19T04:59:00.957+00:00",318,"PRESERVED_SPECIMEN","PRESENT",3180410,6,7707728,220,690,5014,3180375,3180410,3180410,"Uromyrtus metrosideros (F.M.Bailey) A.J.Scott","Plantae","Tracheophyta","Myrtales","Myrtaceae","Uromyrtus","Uromyrtus metrosideros","Uromyrtus","metrosideros","SPECIES","ACCEPTED","NE","OCEANIA","Queensland",2000,12,5,"2000-12-05",340,340,"2024-06-19T04:59:00.957+00:00",FALSE,"9b2499e9-8201-4785-b7cf-ba49868c590e","none","none",FALSE,"Jago, R.L.|Forster, P.I.",NA,"WGS84","Magnoliopsida","AU","none","none","OCEANIA","Australia","OCEANIA","5778","9b2499e9-8201-4785-b7cf-ba49868c590e","7000",NA,NA,"2418761536","9b2499e9-8201-4785-b7cf-ba49868c590e",NA,"Mountain Malletwood","https://id.biodiversity.org.au/node/apni/8499616","Uromyrtus metrosideros","A shrub 2m tall, flowers pink.","Uromyrtus metrosideros (F.M.Bailey) A.J.Scott",100,"Australia, Queensland, Cook","2021-09-13T08:42:47.000+00:00","a79d773e-d540-4a63-bf13-3892b10581c8","96b0cded-0297-4de7-8917-2911806bb028","Sheet","Growing in low stunted mountain rainforest with Leptospermum wooroonooran on soils derived from a granite substrate.","ICN","Label","Mt Bellenden Ker.","Cook","Herbrecs","PhysicalObject","BRI AQ0669835","BRI","Plantae | Viridaeplantae | Streptophyta | Equisetopsida | Magnoliidae | Rosanae | Myrtales | Myrtaceae | Uromyrtus","Flowers",NA,1540,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://images.ala.org.au/image/proxyImageThumbnailLarge?imageId=b640cba2-69a3-46b4-a7c3-e8a59c15bb84","http://creativecommons.org/licenses/by/4.0/"
"2514960663","Uromyrtus metrosideros (F.M.Bailey) A.J.Scott",-17.265,145.85278,"colmafu,inmafu","15f819bd-6612-4447-854b-14d12ee1022d","396d5f30-dea9-11db-8ab4-b8a03c50a862","65eb93af-41b8-4917-a5fc-cfe2a45aa4bf","396d5f30-dea9-11db-8ab4-b8a03c50a862","NL","DWC_ARCHIVE","2024-07-18T22:01:52.868+00:00","2024-07-18T23:56:14.389+00:00",270,"PRESERVED_SPECIMEN","PRESENT",3180410,6,7707728,220,690,5014,3180375,3180410,3180410,"Uromyrtus metrosideros (F.M.Bailey) A.J.Scott","Plantae","Tracheophyta","Myrtales","Myrtaceae","Uromyrtus","Uromyrtus metrosideros","Uromyrtus","metrosideros","SPECIES","ACCEPTED","NE","OCEANIA",NA,2000,12,5,"2000-12-05",340,340,"2024-07-18T23:56:14.389+00:00",FALSE,"L.3917342@BRAHMS","none","none",TRUE,"Foster PI; Booth R; Jago R",NA,"WGS84","Magnoliopsida","AU","none","none","OCEANIA","Australia","EUROPE","Foster, PI; Booth, R; Jago, R 26514","L.3917342@BRAHMS",NA,NA,NA,"2514960663","https://data.biodiversitydata.nl/naturalis/specimen/L.3917342",NA,NA,NA,NA,NA,"Uromyrtus metrosideros (F.M.Bailey) A.J.Scott",NA,NA,NA,"0e919a55-08d3-4bd2-aec1-200858fafd92","0add23db-a8f7-4d15-95ad-4ed0c5c8a055",NA,NA,"ICN",NA,"Queensland. Cook. Wooroonooran National Park, Mt Bellenden Ker summit area. 8063-780907.",NA,"Botany",NA,"L.3917342",NA,"Plantae|Myrtales|Myrtaceae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"17abcf75-2f1e-46dd-bf75-a5b21dd02655","Naturalis Biodiversity Center","Naturalis Biodiversity Center",NA,NA,NA,NA,"https://medialib.naturalis.nl/file/id/L.3917342/format/large","http://creativecommons.org/licenses/by/4.0/"
"2418592318","Uromyrtus metrosideros (F.M.Bailey) A.J.Scott",-16.523469,145.276108,"cdc,colmafu,inmafu","5d7f5915-0561-4107-aa20-20a4267c203f","96835ce2-d3af-4f6e-af81-faa0c7576fa4","19893c10-381e-4534-9bb8-6c37d03ad29e","3c5e4331-7f2f-4a8d-aa56-81ece7014fc8","AU","DWC_ARCHIVE","2024-06-19T02:32:59.476+00:00","2024-06-19T04:58:47.731+00:00",318,"PRESERVED_SPECIMEN","PRESENT",3180410,6,7707728,220,690,5014,3180375,3180410,3180410,"Uromyrtus metrosideros (F.M.Bailey) A.J.Scott","Plantae","Tracheophyta","Myrtales","Myrtaceae","Uromyrtus","Uromyrtus metrosideros","Uromyrtus","metrosideros","SPECIES","ACCEPTED","NE","OCEANIA","Queensland",1998,12,3,"1998-12-03",337,337,"2024-06-19T04:58:47.731+00:00",FALSE,"52bed50e-8a28-41a4-958e-a5dd7136039d","none","none",TRUE,"Gray, B.",NA,"WGS84","Magnoliopsida","AU","none","none","OCEANIA","Australia","OCEANIA","7412","52bed50e-8a28-41a4-958e-a5dd7136039d","7000",NA,NA,"2418592318","52bed50e-8a28-41a4-958e-a5dd7136039d",NA,"Mountain Malletwood","https://id.biodiversity.org.au/node/apni/8499616","Uromyrtus metrosideros","Small tree 4m tall. Calyx green. Corolla pink and white.","Uromyrtus metrosideros (F.M.Bailey) A.J.Scott",2000,"Australia, Queensland, Cook","2021-09-13T08:42:53.000+00:00","a79d773e-d540-4a63-bf13-3892b10581c8","96b0cded-0297-4de7-8917-2911806bb028","Sheet","Rainforest.","ICN","Label","SFR 143 Riflemead, North Mary LA.","Cook","Herbrecs","PhysicalObject","BRI AQ0845056","BRI","Plantae | Viridaeplantae | Streptophyta | Equisetopsida | Magnoliidae | Rosanae | Myrtales | Myrtaceae | Uromyrtus","Flowers and buds",NA,1000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://images.ala.org.au/image/proxyImageThumbnailLarge?imageId=92394e9c-f55d-4167-a387-2d0a2d9b91bf","http://creativecommons.org/licenses/by/4.0/"
"2418427671","Uromyrtus metrosideros (F.M.Bailey) A.J.Scott",-17.262651,145.853871,"cdc,colmafu,inmafu","5d7f5915-0561-4107-aa20-20a4267c203f","96835ce2-d3af-4f6e-af81-faa0c7576fa4","19893c10-381e-4534-9bb8-6c37d03ad29e","3c5e4331-7f2f-4a8d-aa56-81ece7014fc8","AU","DWC_ARCHIVE","2024-06-19T02:32:59.476+00:00","2024-06-19T04:58:27.411+00:00",318,"PRESERVED_SPECIMEN","PRESENT",3180410,6,7707728,220,690,5014,3180375,3180410,3180410,"Uromyrtus metrosideros (F.M.Bailey) A.J.Scott","Plantae","Tracheophyta","Myrtales","Myrtaceae","Uromyrtus","Uromyrtus metrosideros","Uromyrtus","metrosideros","SPECIES","ACCEPTED","NE","OCEANIA","Queensland",1995,12,12,"1995-12-12",346,346,"2024-06-19T04:58:27.411+00:00",FALSE,"0d97d473-664e-4c42-83bf-faeafb67c263","none","none",FALSE,"Hunter, J.",NA,"WGS84","Magnoliopsida","AU","none","none","OCEANIA","Australia","OCEANIA","JH1526","0d97d473-664e-4c42-83bf-faeafb67c263","7000",NA,NA,"2418427671","0d97d473-664e-4c42-83bf-faeafb67c263",NA,"Mountain Malletwood","https://id.biodiversity.org.au/node/apni/8499616","Uromyrtus metrosideros",NA,"Uromyrtus metrosideros (F.M.Bailey) A.J.Scott",100,"Australia, Queensland, Cook","2021-09-13T08:42:45.000+00:00","a79d773e-d540-4a63-bf13-3892b10581c8","96b0cded-0297-4de7-8917-2911806bb028","Sheet",NA,"ICN","Hrb Convert","Bellenden Ker; (Grid Ref 8063-780908).","Cook","Herbrecs","PhysicalObject","BRI AQ0661871","BRI","Plantae | Viridaeplantae | Streptophyta | Equisetopsida | Magnoliidae | Rosanae | Myrtales | Myrtaceae | Uromyrtus","Flowers and buds",NA,1545,"Simple notophyll vine-fern thicket on shallow, grey-brown sandy loam with granite geology.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://images.ala.org.au/image/proxyImageThumbnailLarge?imageId=c2f2d865-cae8-4c1a-a86a-3ea19695d258","http://creativecommons.org/licenses/by/4.0/"
"2418841111","Uromyrtus metrosideros (F.M.Bailey) A.J.Scott",-16.550556,145.28,"cdc,colmafu,inmafu","5d7f5915-0561-4107-aa20-20a4267c203f","96835ce2-d3af-4f6e-af81-faa0c7576fa4","19893c10-381e-4534-9bb8-6c37d03ad29e","3c5e4331-7f2f-4a8d-aa56-81ece7014fc8","AU","DWC_ARCHIVE","2024-06-19T02:32:59.476+00:00","2024-06-19T04:59:07.080+00:00",318,"PRESERVED_SPECIMEN","PRESENT",3180410,6,7707728,220,690,5014,3180375,3180410,3180410,"Uromyrtus metrosideros (F.M.Bailey) A.J.Scott","Plantae","Tracheophyta","Myrtales","Myrtaceae","Uromyrtus","Uromyrtus metrosideros","Uromyrtus","metrosideros","SPECIES","ACCEPTED","NE","OCEANIA","Queensland",1994,2,6,"1994-02-06",37,37,"2024-06-19T04:59:07.080+00:00",FALSE,"bce68d9f-2e3c-46ed-80ac-0c731309d3be","none","none",FALSE,"Forster, P.I.",NA,"WGS84","Magnoliopsida","AU","none","none","OCEANIA","Australia","OCEANIA","PIF14760","bce68d9f-2e3c-46ed-80ac-0c731309d3be","7000",NA,NA,"2418841111","bce68d9f-2e3c-46ed-80ac-0c731309d3be",NA,"Mountain Malletwood","https://id.biodiversity.org.au/node/apni/8499616","Uromyrtus metrosideros","Small tree to 5m high; weeping foliage, leaves bluish below, green immature fruit.","Uromyrtus metrosideros (F.M.Bailey) A.J.Scott",100,"Australia, Queensland, Cook","2021-09-13T08:42:36.000+00:00","a79d773e-d540-4a63-bf13-3892b10581c8","96b0cded-0297-4de7-8917-2911806bb028","Sheet|Spirit",NA,"ICN","Map","20.5km along Mt Lewis road, South Mary Logging Area, State Forest 143.","Cook","Herbrecs","PhysicalObject","BRI AQ0624547","BRI","Plantae | Viridaeplantae | Streptophyta | Equisetopsida | Magnoliidae | Rosanae | Myrtales | Myrtaceae | Uromyrtus","Fruit",NA,1000,"Very common in area.  Microphyll vine-fern thicket, red soil on granite.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://images.ala.org.au/image/proxyImageThumbnailLarge?imageId=9024fe01-51a7-44bf-b755-8bd49cda8260","http://creativecommons.org/licenses/by/4.0/"
"2515247828","Uromyrtus metrosideros (F.M.Bailey) A.J.Scott",-16.53333,145.26667,"colmafu,inmafu","15f819bd-6612-4447-854b-14d12ee1022d","396d5f30-dea9-11db-8ab4-b8a03c50a862","65eb93af-41b8-4917-a5fc-cfe2a45aa4bf","396d5f30-dea9-11db-8ab4-b8a03c50a862","NL","DWC_ARCHIVE","2024-07-18T22:01:52.868+00:00","2024-07-18T23:56:16.525+00:00",270,"PRESERVED_SPECIMEN","PRESENT",3180410,6,7707728,220,690,5014,3180375,3180410,3180410,"Uromyrtus metrosideros (F.M.Bailey) A.J.Scott","Plantae","Tracheophyta","Myrtales","Myrtaceae","Uromyrtus","Uromyrtus metrosideros","Uromyrtus","metrosideros","SPECIES","ACCEPTED","NE","OCEANIA",NA,1994,2,6,"1994-02-06",37,37,"2024-07-18T23:56:16.525+00:00",FALSE,"L.4165080@BRAHMS","none","none",TRUE,"Forster PI",NA,"WGS84","Magnoliopsida","AU","none","none","OCEANIA","Australia","EUROPE","Forster, PI 14760","L.4165080@BRAHMS",NA,NA,NA,"2515247828","https://data.biodiversitydata.nl/naturalis/specimen/L.4165080",NA,NA,NA,NA,NA,"Uromyrtus metrosideros (F.M.Bailey) A.J.Scott",NA,NA,NA,"0e919a55-08d3-4bd2-aec1-200858fafd92","0add23db-a8f7-4d15-95ad-4ed0c5c8a055",NA,NA,"ICN",NA,"Flora of Queensland. 20.5km along MT Lewis road, South Mary Logging Area, State Forest 143.",NA,"Botany",NA,"L.4165080",NA,"Plantae|Myrtales|Myrtaceae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"17abcf75-2f1e-46dd-bf75-a5b21dd02655","Naturalis Biodiversity Center","Naturalis Biodiversity Center",NA,NA,NA,NA,"https://medialib.naturalis.nl/file/id/L.4165080/format/large","http://creativecommons.org/licenses/by/4.0/"
