"key","scientificName","decimalLatitude","decimalLongitude","issues","datasetKey","publishingOrgKey","networkKeys","installationKey","hostingOrganizationKey","publishingCountry","protocol","lastCrawled","lastParsed","crawlId","basisOfRecord","occurrenceStatus","taxonKey","kingdomKey","phylumKey","classKey","orderKey","familyKey","genusKey","speciesKey","acceptedTaxonKey","acceptedScientificName","kingdom","phylum","order","family","genus","species","genericName","specificEpithet","taxonRank","taxonomicStatus","iucnRedListCategory","continent","stateProvince","year","month","day","eventDate","startDayOfYear","endDayOfYear","lastInterpreted","isSequenced","identifier","facts","relations","institutionKey","collectionKey","isInCluster","recordedBy","identifiedBy","geodeticDatum","class","countryCode","recordedByIDs","identifiedByIDs","gbifRegion","country","publishedByGbifRegion","rightsHolder","recordNumber","identifier.1","verbatimEventDate","municipality","locality","collectionCode","gbifID","occurrenceID","catalogNumber","institutionCode","fieldNotes","occurrenceRemarks","bibliographicCitation","name","elevation","elevationAccuracy","dateIdentified","modified","datasetName","otherCatalogNumbers","institutionID","habitat","eventRemarks","higherClassification","gadm","higherGeography","georeferencedBy","georeferencedDate","georeferenceProtocol","georeferenceVerificationStatus","georeferenceRemarks","references","http...unknown.org.recordID","taxonID","rights","http...unknown.org.recordEnteredBy","collectionID","reproductiveCondition","coordinateUncertaintyInMeters","georeferenceSources","preparations","nomenclaturalCode","county","language","type","identificationRemarks","verbatimElevation","organismID","locationID","ownerInstitutionCode","accessRights","fieldNumber","verbatimLocality","associatedOccurrences","individualCount","typeStatus","locationRemarks","eventID","disposition","media_url","license"
"4900531924","Myrcia mischophylla Kiaersk.",-13.553889,-41.802222,"cdc,cdround,gass84,iddativ,colmafu,inmafu","67f33aea-2c4b-475b-b243-91ca1b9dd29a","838537fc-4aeb-4980-8b58-97fbdcd1d91a","4b0d8edb-7504-42c4-9349-63e86c01bf97","ecb15bdf-98de-4937-84f5-4f93ee9efc73","838537fc-4aeb-4980-8b58-97fbdcd1d91a","BR","EML","2024-07-01T12:06:29.209+00:00","2024-07-01T12:17:52.250+00:00",203,"PRESERVED_SPECIMEN","PRESENT",3173945,6,7707728,220,690,5014,3173889,3173945,3173945,"Myrcia mischophylla Kiaersk.","Plantae","Tracheophyta","Myrtales","Myrtaceae","Myrcia","Myrcia mischophylla","Myrcia","mischophylla","SPECIES","ACCEPTED","NE","SOUTH_AMERICA","Bahia",2022,1,20,"2022-01-20",20,20,"2024-07-01T12:17:52.250+00:00",FALSE,"6273370","none","none","7b2eaa48-c6f9-48aa-b8d5-97700cc4487c","2b636271-4d24-49bf-9ed8-abbe2829b25e",FALSE,"Guedes, ML;Fonseca, WO,Fonseca, GV,Souza, EH,Sampaio, MR","Guedes, ML","WGS84","Magnoliopsida","BR","none","none","LATIN_AMERICA","Brazil","LATIN_AMERICA","ALCB","32318","6273370","20/01/2022","Rio de Contas","Estrada para Mato Grosso.","ALCB","4900531924","6273370","ALCB00072488","ALCB","de ca 3 m de alt. Folhas coriáceas, discolores, com face abaxial com indumento ferrugíneo. Inflorescência em botões com indumento ferrugíneo.","de ca 3 m de alt. Folhas coriáceas, discolores, com face abaxial com indumento ferrugíneo. Inflorescência em botões com indumento ferrugíneo.","Herbário Virtual REFLORA Disponível em: http://herbariovirtualreflora.jbrj.gov.br/reflora/herbarioVirtual/ConsultaPublicoHVUC/ConsultaPublicoHVUC.do?idTestemunho=6273370","Myrcia mischophylla Kiaersk.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"http://jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/alcb/alcb/0/7/24/88/alcb00072488.dzi","http://creativecommons.org/licenses/by/4.0/"
"2996076200","Myrcia mischophylla Kiaersk.",-13.609722,-42.015833,"cdc,cdround,elmms,gass84,iddativ,colmafu,inmafu","67f33aea-2c4b-475b-b243-91ca1b9dd29a","838537fc-4aeb-4980-8b58-97fbdcd1d91a","4b0d8edb-7504-42c4-9349-63e86c01bf97","ecb15bdf-98de-4937-84f5-4f93ee9efc73","838537fc-4aeb-4980-8b58-97fbdcd1d91a","BR","EML","2024-07-01T12:06:29.209+00:00","2024-07-01T12:17:56.573+00:00",203,"PRESERVED_SPECIMEN","PRESENT",3173945,6,7707728,220,690,5014,3173889,3173945,3173945,"Myrcia mischophylla Kiaersk.","Plantae","Tracheophyta","Myrtales","Myrtaceae","Myrcia","Myrcia mischophylla","Myrcia","mischophylla","SPECIES","ACCEPTED","NE","SOUTH_AMERICA","Bahia",2018,1,25,"2018-01-25",25,25,"2024-07-01T12:17:56.573+00:00",FALSE,"5268593","none","none","7b2eaa48-c6f9-48aa-b8d5-97700cc4487c","2b636271-4d24-49bf-9ed8-abbe2829b25e",TRUE,"Stadnik, A;Lucresia, L","Stadnik, A","WGS84","Magnoliopsida","BR","none","none","LATIN_AMERICA","Brazil","LATIN_AMERICA","ALCB","514","5268593","25/01/2018","Mucugê","P23","ALCB","2996076200","5268593","ALCB059813","ALCB","ca. 2m. Folhas discolores. Inflorescência jovem, castanha.","ca. 2m. Folhas discolores. Inflorescência jovem, castanha.","Herbário Virtual REFLORA Disponível em: http://herbariovirtualreflora.jbrj.gov.br/reflora/herbarioVirtual/ConsultaPublicoHVUC/ConsultaPublicoHVUC.do?idTestemunho=5268593","Myrcia mischophylla Kiaersk.",569.5,569.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"http://jbrj-public.s3.amazonaws.com/fsi/server?type=image&source=DZI/alcb/alcb/0/5/98/13/alcb00059813.dzi","http://creativecommons.org/licenses/by/4.0/"
"2302267907","Myrcia mischophylla Kiaersk.",-19.000833,-43.3975,"cdc,cdround,gass84,colmafu,inmafu","4300f8d5-1ae5-49e5-a101-63894b005868","838537fc-4aeb-4980-8b58-97fbdcd1d91a","4b0d8edb-7504-42c4-9349-63e86c01bf97","da7fe11a-b42c-46cb-9e9d-02243edb738a","838537fc-4aeb-4980-8b58-97fbdcd1d91a","BR","EML","2024-08-01T12:04:19.955+00:00","2024-08-01T12:21:51.795+00:00",520,"PRESERVED_SPECIMEN","PRESENT",3173945,6,7707728,220,690,5014,3173889,3173945,3173945,"Myrcia mischophylla Kiaersk.","Plantae","Tracheophyta","Myrtales","Myrtaceae","Myrcia","Myrcia mischophylla","Myrcia","mischophylla","SPECIES","ACCEPTED","NE","SOUTH_AMERICA","Minas Gerais",2017,7,26,"2017-07-26",207,207,"2024-08-01T12:21:51.795+00:00",FALSE,"urn:catalog:JBRJ:RB:1414707","none","none","48b29504-e1ac-432c-a0d6-f09f46023207","e89ac5d6-77af-4d2a-adef-f54d512af4fa",FALSE,"A.S. Quaresma; C.T. Oliveira","T. Fernandes","WGS84","Magnoliopsida","BR","none","none","LATIN_AMERICA","Brazil","LATIN_AMERICA","Rio de Janeiro Botanical Garden","849","urn:catalog:JBRJ:RB:1414707",NA,"Conceição do Mato Dentro","Serra da Ferrugem","RB","2302267907","urn:catalog:JBRJ:RB:1414707","RB01414707","JBRJ","Campo Rupestre ferruginoso.",NA,NA,"Myrcia mischophylla Kiaersk.",NA,NA,"2022-10-01T00:00:00","2022-10-27T00:31:59.000+00:00","RB - Rio de Janeiro Botanical Garden Herbarium Collection","RB 790327","04.936.616/0001-20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"http://jbrj-public-img.s3-sa-east-1.amazonaws.com/JPG/rb/1/41/47/7/01414707.jpg","http://creativecommons.org/licenses/by/4.0/"
"4519402196","Myrcia mischophylla Kiaersk.",-18.290278,-43.784445,"cdc,cdround,gass84,incomis,inmafu","cd6e21c8-9e8a-493a-8a76-fbf7862069e5","061b4f20-f241-11da-a328-b8a03c50a862","17abcf75-2f1e-46dd-bf75-a5b21dd02655","996e30f8-f762-11e1-a439-00145eb45e9a","061b4f20-f241-11da-a328-b8a03c50a862","GB","DWC_ARCHIVE","2024-08-02T00:36:44.166+00:00","2024-08-02T01:15:42.345+00:00",407,"PRESERVED_SPECIMEN","PRESENT",3173945,6,7707728,220,690,5014,3173889,3173945,3173945,"Myrcia mischophylla Kiaersk.","Plantae","Tracheophyta","Myrtales","Myrtaceae","Myrcia","Myrcia mischophylla","Myrcia","mischophylla","SPECIES","ACCEPTED","NE","SOUTH_AMERICA",NA,2016,1,21,"2016-01-21T00:00",21,21,"2024-08-02T01:15:42.345+00:00",FALSE,"K001265298","none","none","fa252605-26f6-426c-9892-94d071c2c77f",NA,TRUE,"Faria, J.E.Q.; Paz, J.R.L.","Sobral, M.","WGS84","Magnoliopsida","BR","none","none","LATIN_AMERICA","Brazil","EUROPE",NA,"5303","K001265298",NA,NA,"Diamantina: margem da estrada para Conselheiro Mata","Herbarium","4519402196","http://specimens.kew.org/herbarium/K001265298","K001265298","K",NA,NA,NA,"Myrcia mischophylla Kiaersk.",NA,NA,NA,"2023-05-30T14:22:31.920+00:00",NA,NA,NA,"Cerrado rupestre.","Arbusto ca. 1,5 m de altura; botoes florais verdes.","Myrtaceae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://d2seqvvyy3b8p2.cloudfront.net/46e6f3dae5f579b5768ebdf9b2f17300.jpg","http://creativecommons.org/licenses/by/4.0/"
"1423911594","Myrcia mischophylla Kiaersk.",-18.2625,-43.52,"cdc,gass84,colmafu,inmafu","4300f8d5-1ae5-49e5-a101-63894b005868","838537fc-4aeb-4980-8b58-97fbdcd1d91a","4b0d8edb-7504-42c4-9349-63e86c01bf97","da7fe11a-b42c-46cb-9e9d-02243edb738a","838537fc-4aeb-4980-8b58-97fbdcd1d91a","BR","EML","2024-08-01T12:04:19.955+00:00","2024-08-01T12:21:46.686+00:00",520,"PRESERVED_SPECIMEN","PRESENT",3173945,6,7707728,220,690,5014,3173889,3173945,3173945,"Myrcia mischophylla Kiaersk.","Plantae","Tracheophyta","Myrtales","Myrtaceae","Myrcia","Myrcia mischophylla","Myrcia","mischophylla","SPECIES","ACCEPTED","NE","SOUTH_AMERICA","Minas Gerais",2016,1,22,"2016-01-22",22,22,"2024-08-01T12:21:46.686+00:00",FALSE,"urn:catalog:JBRJ:RB:1129060","none","none","48b29504-e1ac-432c-a0d6-f09f46023207","e89ac5d6-77af-4d2a-adef-f54d512af4fa",FALSE,"J.E.Q. Faria; J.R.L. Paz; D.A. Chaves","A. Stadnik","WGS84","Magnoliopsida","BR","none","none","LATIN_AMERICA","Brazil","LATIN_AMERICA","Rio de Janeiro Botanical Garden","5351","urn:catalog:JBRJ:RB:1129060",NA,"Diamantina","Estrada indo de Curralinho para ponte do Acaba Mundo","RB","1423911594","urn:catalog:JBRJ:RB:1129060","RB01129060","JBRJ","Cerrado rupestre",NA,NA,"Myrcia mischophylla Kiaersk.",1218,NA,"2019-07-21T00:00:00","2019-07-29T16:22:24.000+00:00","RB - Rio de Janeiro Botanical Garden Herbarium Collection","RB 650522","04.936.616/0001-20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"http://jbrj-public-img.s3-sa-east-1.amazonaws.com/JPG/rb/1/12/90/60/01129060.jpg","http://creativecommons.org/licenses/by/4.0/"
"1585337512","Myrcia mischophylla Kiaersk.",-18.305833,-43.900278,"cdc,cdround,gass84,colmafu,inmafu","4300f8d5-1ae5-49e5-a101-63894b005868","838537fc-4aeb-4980-8b58-97fbdcd1d91a","4b0d8edb-7504-42c4-9349-63e86c01bf97","da7fe11a-b42c-46cb-9e9d-02243edb738a","838537fc-4aeb-4980-8b58-97fbdcd1d91a","BR","EML","2024-08-01T12:04:19.955+00:00","2024-08-01T12:21:48.332+00:00",520,"PRESERVED_SPECIMEN","PRESENT",3173945,6,7707728,220,690,5014,3173889,3173945,3173945,"Myrcia mischophylla Kiaersk.","Plantae","Tracheophyta","Myrtales","Myrtaceae","Myrcia","Myrcia mischophylla","Myrcia","mischophylla","SPECIES","ACCEPTED","NE","SOUTH_AMERICA","Minas Gerais",2016,4,24,"2016-04-24",115,115,"2024-08-01T12:21:48.332+00:00",FALSE,"urn:catalog:JBRJ:RB:1341590","none","none","48b29504-e1ac-432c-a0d6-f09f46023207","e89ac5d6-77af-4d2a-adef-f54d512af4fa",FALSE,"J.E.Q. Faria","A. Stadnik","WGS84","Magnoliopsida","BR","none","none","LATIN_AMERICA","Brazil","LATIN_AMERICA","Rio de Janeiro Botanical Garden","5783","urn:catalog:JBRJ:RB:1341590",NA,"Diamantina","Margem da estrada para Conselheiro Mata","RB","1585337512","urn:catalog:JBRJ:RB:1341590","RB01341590","JBRJ","Campo rupestre com cascalho branco",NA,NA,"Myrcia mischophylla Kiaersk.",NA,NA,"2019-07-21T00:00:00","2019-07-29T20:53:42.000+00:00","RB - Rio de Janeiro Botanical Garden Herbarium Collection","RB 738860","04.936.616/0001-20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"http://jbrj-public-img.s3-sa-east-1.amazonaws.com/JPG/rb/1/34/15/90/01341590.jpg","http://creativecommons.org/licenses/by/4.0/"
"4900528592","Myrcia mischophylla Kiaersk.",-14.562222,-42.552222,"cdc,cdround,elmms,gass84,iddativ,rdativ,colmafu,inmafu","67f33aea-2c4b-475b-b243-91ca1b9dd29a","838537fc-4aeb-4980-8b58-97fbdcd1d91a","4b0d8edb-7504-42c4-9349-63e86c01bf97","ecb15bdf-98de-4937-84f5-4f93ee9efc73","838537fc-4aeb-4980-8b58-97fbdcd1d91a","BR","EML","2024-07-01T12:06:29.209+00:00","2024-07-01T12:17:50.865+00:00",203,"PRESERVED_SPECIMEN","PRESENT",3173945,6,7707728,220,690,5014,3173889,3173945,3173945,"Myrcia mischophylla Kiaersk.","Plantae","Tracheophyta","Myrtales","Myrtaceae","Myrcia","Myrcia mischophylla","Myrcia","mischophylla","SPECIES","ACCEPTED","NE","SOUTH_AMERICA","Bahia",2016,5,1,"2016-05-01",122,122,"2024-07-01T12:17:50.865+00:00",FALSE,"6263608","none","none","7b2eaa48-c6f9-48aa-b8d5-97700cc4487c","2b636271-4d24-49bf-9ed8-abbe2829b25e",FALSE,"Coelho, J;Amorim, VO",NA,"WGS84","Magnoliopsida","BR","none","none","LATIN_AMERICA","Brazil","LATIN_AMERICA","ALCB","118","6263608","01/05/2016","Licínio de Almeida","Caminho p/ cascarrento.","ALCB","4900528592","6263608","ALCB00047991","ALCB","ca. 2,0 m, folhas discolores, face adaxial com tricomas furfuráceo, face abaxial ferrugíneo, cálice ferrugíneo, corola e estames alvos.","ca. 2,0 m, folhas discolores, face adaxial com tricomas furfuráceo, face abaxial ferrugíneo, cálice ferrugíneo, corola e estames alvos.","Herbário Virtual REFLORA Disponível em: http://herbariovirtualreflora.jbrj.gov.br/reflora/herbarioVirtual/ConsultaPublicoHVUC/ConsultaPublicoHVUC.do?idTestemunho=6263608","Myrcia mischophylla Kiaersk.",484,484,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"http://jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/alcb/alcb/0/4/79/91/alcb00047991.dzi","http://creativecommons.org/licenses/by/4.0/"
"4900535561","Myrcia mischophylla Kiaersk.",0,0,"cucdmis,gass84,iddativ,rdativ,zerocd,colmafu,inmafu","67f33aea-2c4b-475b-b243-91ca1b9dd29a","838537fc-4aeb-4980-8b58-97fbdcd1d91a","4b0d8edb-7504-42c4-9349-63e86c01bf97","ecb15bdf-98de-4937-84f5-4f93ee9efc73","838537fc-4aeb-4980-8b58-97fbdcd1d91a","BR","EML","2024-07-01T12:06:29.209+00:00","2024-07-01T12:17:29.183+00:00",203,"PRESERVED_SPECIMEN","PRESENT",3173945,6,7707728,220,690,5014,3173889,3173945,3173945,"Myrcia mischophylla Kiaersk.","Plantae","Tracheophyta","Myrtales","Myrtaceae","Myrcia","Myrcia mischophylla","Myrcia","mischophylla","SPECIES","ACCEPTED","NE",NA,"Bahia",2016,10,8,"2016-10-08",282,282,"2024-07-01T12:17:29.183+00:00",FALSE,"6261600","none","none","7b2eaa48-c6f9-48aa-b8d5-97700cc4487c","2b636271-4d24-49bf-9ed8-abbe2829b25e",FALSE,"Melo, JDO;Roque, N,Stadnik, A,Alunos de Sistemática Evolução de Espermatófitas","Stadnik, A; Melo, JDO","WGS84","Magnoliopsida","BR","none","none","LATIN_AMERICA","Brazil","LATIN_AMERICA","ALCB","12","6261600","08/10/2016","Palmeiras","Vale do Capão. Trilha para a Cachoeira da Fumaça.","ALCB","4900535561","6261600","ALCB00040780","ALCB","ca. 1,5m. Folhas jovens com indumento ferrugíneo. Face abaxial das folhas, ramos da inflorescência e botões ferrugíneos, floores com pétalas alvas, frutos amarelo - esverdeados.","ca. 1,5m. Folhas jovens com indumento ferrugíneo. Face abaxial das folhas, ramos da inflorescência e botões ferrugíneos, floores com pétalas alvas, frutos amarelo - esverdeados.","Herbário Virtual REFLORA Disponível em: http://herbariovirtualreflora.jbrj.gov.br/reflora/herbarioVirtual/ConsultaPublicoHVUC/ConsultaPublicoHVUC.do?idTestemunho=6261600","Myrcia mischophylla Kiaersk.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"http://jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/alcb/alcb/0/4/7/80/alcb00040780.dzi","http://creativecommons.org/licenses/by/4.0/"
"2996071708","Myrcia mischophylla Kiaersk.",-14.781667,-42.567778,"cdc,cdround,elmms,gass84,iddativ,colmafu,inmafu","67f33aea-2c4b-475b-b243-91ca1b9dd29a","838537fc-4aeb-4980-8b58-97fbdcd1d91a","4b0d8edb-7504-42c4-9349-63e86c01bf97","ecb15bdf-98de-4937-84f5-4f93ee9efc73","838537fc-4aeb-4980-8b58-97fbdcd1d91a","BR","EML","2024-07-01T12:06:29.209+00:00","2024-07-01T12:17:52.925+00:00",203,"PRESERVED_SPECIMEN","PRESENT",3173945,6,7707728,220,690,5014,3173889,3173945,3173945,"Myrcia mischophylla Kiaersk.","Plantae","Tracheophyta","Myrtales","Myrtaceae","Myrcia","Myrcia mischophylla","Myrcia","mischophylla","SPECIES","ACCEPTED","NE","SOUTH_AMERICA","Bahia",2015,1,20,"2015-01-20",20,20,"2024-07-01T12:17:52.925+00:00",FALSE,"5154756","none","none","7b2eaa48-c6f9-48aa-b8d5-97700cc4487c","2b636271-4d24-49bf-9ed8-abbe2829b25e",TRUE,"Stadnik, A;Lopes, R,Jardim, JG,Ibrahim, M","Stadnik, A","WGS84","Magnoliopsida","BR","none","none","LATIN_AMERICA","Brazil","LATIN_AMERICA","ALCB","262","5154756","20/01/2015","Licínio de Almeida","Riacho de Areia","ALCB","2996071708","5154756","ALCB045481","ALCB","ca. 4m alt. Folhas coriaceas, discolores. Inflorescencias imaturas.","ca. 4m alt. Folhas coriaceas, discolores. Inflorescencias imaturas.","Herbário Virtual REFLORA Disponível em: http://herbariovirtualreflora.jbrj.gov.br/reflora/herbarioVirtual/ConsultaPublicoHVUC/ConsultaPublicoHVUC.do?idTestemunho=5154756","Myrcia mischophylla Kiaersk.",497,497,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"http://jbrj-public.s3.amazonaws.com/fsi/server?type=image&source=DZI/alcb/alcb/0/4/54/81/alcb00045481.dzi","http://creativecommons.org/licenses/by/4.0/"
"2996071871","Myrcia mischophylla Kiaersk.",-14.497778,-42.545556,"cdc,cdround,elmms,gass84,iddativ,colmafu,inmafu","67f33aea-2c4b-475b-b243-91ca1b9dd29a","838537fc-4aeb-4980-8b58-97fbdcd1d91a","4b0d8edb-7504-42c4-9349-63e86c01bf97","ecb15bdf-98de-4937-84f5-4f93ee9efc73","838537fc-4aeb-4980-8b58-97fbdcd1d91a","BR","EML","2024-07-01T12:06:29.209+00:00","2024-07-01T12:17:52.988+00:00",203,"PRESERVED_SPECIMEN","PRESENT",3173945,6,7707728,220,690,5014,3173889,3173945,3173945,"Myrcia mischophylla Kiaersk.","Plantae","Tracheophyta","Myrtales","Myrtaceae","Myrcia","Myrcia mischophylla","Myrcia","mischophylla","SPECIES","ACCEPTED","NE","SOUTH_AMERICA","Bahia",2015,1,22,"2015-01-22",22,22,"2024-07-01T12:17:52.988+00:00",FALSE,"5154775","none","none","7b2eaa48-c6f9-48aa-b8d5-97700cc4487c","2b636271-4d24-49bf-9ed8-abbe2829b25e",TRUE,"Stadnik, A;Lopes, R,Jardim, JG,Ibrahim, M","Stadnik, A","WGS84","Magnoliopsida","BR","none","none","LATIN_AMERICA","Brazil","LATIN_AMERICA","ALCB","291","5154775","22/01/2015","Licínio de Almeida","Santa Clara","ALCB","2996071871","5154775","ALCB045501","ALCB","ca. 2m alt. Folhas cartaceas, discolores. Botões verdes com indumento ferrugíneo.","ca. 2m alt. Folhas cartaceas, discolores. Botões verdes com indumento ferrugíneo.","Herbário Virtual REFLORA Disponível em: http://herbariovirtualreflora.jbrj.gov.br/reflora/herbarioVirtual/ConsultaPublicoHVUC/ConsultaPublicoHVUC.do?idTestemunho=5154775","Myrcia mischophylla Kiaersk.",486.5,486.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"http://jbrj-public.s3.amazonaws.com/fsi/server?type=image&source=DZI/alcb/alcb/0/4/55/1/alcb00045501.dzi","http://creativecommons.org/licenses/by/4.0/"
"2996071773","Myrcia mischophylla Kiaersk.",-14,-42,"cdc,gass84,iddativ,rdativ,colmafu,inmafu","67f33aea-2c4b-475b-b243-91ca1b9dd29a","838537fc-4aeb-4980-8b58-97fbdcd1d91a","4b0d8edb-7504-42c4-9349-63e86c01bf97","ecb15bdf-98de-4937-84f5-4f93ee9efc73","838537fc-4aeb-4980-8b58-97fbdcd1d91a","BR","EML","2024-07-01T12:06:29.209+00:00","2024-07-01T12:17:52.951+00:00",203,"PRESERVED_SPECIMEN","PRESENT",3173945,6,7707728,220,690,5014,3173889,3173945,3173945,"Myrcia mischophylla Kiaersk.","Plantae","Tracheophyta","Myrtales","Myrtaceae","Myrcia","Myrcia mischophylla","Myrcia","mischophylla","SPECIES","ACCEPTED","NE","SOUTH_AMERICA","Bahia",2015,5,12,"2015-05-12",132,132,"2024-07-01T12:17:52.951+00:00",FALSE,"5154784","none","none","7b2eaa48-c6f9-48aa-b8d5-97700cc4487c","2b636271-4d24-49bf-9ed8-abbe2829b25e",TRUE,"Stadnik, A;Lopes, R,Coelho, J,Santana, A","Stadnik, A","WGS84","Magnoliopsida","BR","none","none","LATIN_AMERICA","Brazil","LATIN_AMERICA","ALCB","309","5154784","12/05/2015","Licínio de Almeida","Riacho de Areia","ALCB","2996071773","5154784","ALCB045509","ALCB","ca. 3m alt. Folhas discolores, indumento ferrugíneo na face abaxial das mais jovens, face adaxial acinzentada. Flores com indumento ferrugineo no hipanto e sépalas, corola e estames alvos.","ca. 3m alt. Folhas discolores, indumento ferrugíneo na face abaxial das mais jovens, face adaxial acinzentada. Flores com indumento ferrugineo no hipanto e sépalas, corola e estames alvos.","Herbário Virtual REFLORA Disponível em: http://herbariovirtualreflora.jbrj.gov.br/reflora/herbarioVirtual/ConsultaPublicoHVUC/ConsultaPublicoHVUC.do?idTestemunho=5154784","Myrcia mischophylla Kiaersk.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"http://jbrj-public.s3.amazonaws.com/fsi/server?type=image&source=DZI/alcb/alcb/0/4/55/9/alcb00045509.dzi","http://creativecommons.org/licenses/by/4.0/"
"2996071816","Myrcia mischophylla Kiaersk.",-14,-42,"cdc,gass84,iddativ,colmafu,inmafu","67f33aea-2c4b-475b-b243-91ca1b9dd29a","838537fc-4aeb-4980-8b58-97fbdcd1d91a","4b0d8edb-7504-42c4-9349-63e86c01bf97","ecb15bdf-98de-4937-84f5-4f93ee9efc73","838537fc-4aeb-4980-8b58-97fbdcd1d91a","BR","EML","2024-07-01T12:06:29.209+00:00","2024-07-01T12:17:52.967+00:00",203,"PRESERVED_SPECIMEN","PRESENT",3173945,6,7707728,220,690,5014,3173889,3173945,3173945,"Myrcia mischophylla Kiaersk.","Plantae","Tracheophyta","Myrtales","Myrtaceae","Myrcia","Myrcia mischophylla","Myrcia","mischophylla","SPECIES","ACCEPTED","NE","SOUTH_AMERICA","Bahia",2015,5,13,"2015-05-13",133,133,"2024-07-01T12:17:52.967+00:00",FALSE,"5154792","none","none","7b2eaa48-c6f9-48aa-b8d5-97700cc4487c","2b636271-4d24-49bf-9ed8-abbe2829b25e",TRUE,"Stadnik, A;Lopes, R,Coelho, J,Santana, A","Stadnik, A","WGS84","Magnoliopsida","BR","none","none","LATIN_AMERICA","Brazil","LATIN_AMERICA","ALCB","322","5154792","13/05/2015","Licínio de Almeida","Cascarrento","ALCB","2996071816","5154792","ALCB045517","ALCB","ca. 2m alt. Folhas discolores, indumento ferrugineo. Flores passadas.","ca. 2m alt. Folhas discolores, indumento ferrugineo. Flores passadas.","Herbário Virtual REFLORA Disponível em: http://herbariovirtualreflora.jbrj.gov.br/reflora/herbarioVirtual/ConsultaPublicoHVUC/ConsultaPublicoHVUC.do?idTestemunho=5154792","Myrcia mischophylla Kiaersk.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"http://jbrj-public.s3.amazonaws.com/fsi/server?type=image&source=DZI/alcb/alcb/0/4/55/17/alcb00045517.dzi","http://creativecommons.org/licenses/by/4.0/"
