"key","scientificName","decimalLatitude","decimalLongitude","issues","datasetKey","publishingOrgKey","installationKey","hostingOrganizationKey","publishingCountry","protocol","lastCrawled","lastParsed","crawlId","basisOfRecord","occurrenceStatus","taxonKey","kingdomKey","phylumKey","classKey","orderKey","familyKey","genusKey","speciesKey","acceptedTaxonKey","acceptedScientificName","kingdom","phylum","order","family","genus","species","genericName","specificEpithet","taxonRank","taxonomicStatus","iucnRedListCategory","dateIdentified","continent","stateProvince","year","month","day","eventDate","startDayOfYear","endDayOfYear","modified","lastInterpreted","references","license","isSequenced","identifier","facts","relations","isInCluster","datasetName","recordedBy","identifiedBy","geodeticDatum","class","countryCode","recordedByIDs","identifiedByIDs","gbifRegion","country","publishedByGbifRegion","rightsHolder","identifier.1","http...unknown.org.nick","verbatimEventDate","verbatimLocality","collectionCode","gbifID","occurrenceID","taxonID","catalogNumber","institutionCode","eventTime","http...unknown.org.captive","identificationID","name","coordinateUncertaintyInMeters","informationWithheld","occurrenceRemarks","higherGeography","institutionKey","collectionKey","preparations","recordNumber","habitat","nomenclaturalCode","georeferenceProtocol","http...unknown.org.taxonRankID","locality","county","eventRemarks","type","vernacularName","taxonConceptID","http...unknown.org.species","higherClassification","reproductiveCondition","establishmentMeans","verbatimElevation","verbatimSRS","verbatimCoordinateSystem","disposition","verbatimTaxonRank","georeferenceSources","networkKeys","individualCount","elevation","institutionID","collectionID","otherCatalogNumbers","gadm","typeStatus","http...unknown.org.typifiedName","coordinatePrecision","georeferencedBy","eventID","fieldNotes","locationID","nomenclaturalStatus","ownerInstitutionCode","bibliographicCitation","locationRemarks","media_url"
"2825408680","Lenwebbia prominens N.Snow & Guymer",-28.178417,153.306639,"cdc,colmafu,inmafu","5d7f5915-0561-4107-aa20-20a4267c203f","96835ce2-d3af-4f6e-af81-faa0c7576fa4","19893c10-381e-4534-9bb8-6c37d03ad29e","3c5e4331-7f2f-4a8d-aa56-81ece7014fc8","AU","DWC_ARCHIVE","2024-06-19T02:32:59.476+00:00","2024-06-19T04:58:57.539+00:00",318,"PRESERVED_SPECIMEN","PRESENT",5416203,6,7707728,220,690,5014,3177387,5416203,5416203,"Lenwebbia prominens N.Snow & Guymer","Plantae","Tracheophyta","Myrtales","Myrtaceae","Lenwebbia","Lenwebbia prominens","Lenwebbia","prominens","SPECIES","ACCEPTED","NE","2020-11-29T00:00:00","OCEANIA","Queensland",2019,11,3,"2019-11-03",307,307,"2021-01-27T13:57:57.000+00:00","2024-06-19T04:58:57.539+00:00",NA,"http://creativecommons.org/licenses/by/4.0/",FALSE,"8eedd250-f1d3-47f0-9601-e9ae8cb07f5c","none","none",FALSE,NA,"Avatt, M.|White, J.L.|Scanlan, A.",NA,"WGS84","Magnoliopsida","AU","none","none","OCEANIA","Australia","OCEANIA",NA,"8eedd250-f1d3-47f0-9601-e9ae8cb07f5c",NA,NA,NA,"Herbrecs","2825408680","8eedd250-f1d3-47f0-9601-e9ae8cb07f5c",NA,"BRI AQ1010902","BRI",NA,NA,NA,"Lenwebbia prominens N.Snow & Guymer",100,NA,"Shrub.","Australia, Queensland, Moreton","a79d773e-d540-4a63-bf13-3892b10581c8","96b0cded-0297-4de7-8917-2911806bb028","Sheet","s.n.","Creek bank.","ICN","Label","7000","Ca. 130m S of the entrance to 873 Austinville Road, Austinville.","Moreton","Lots of flower buds on shrub.","PhysicalObject","Velvet Myrtle","https://id.biodiversity.org.au/node/apni/2905727","Lenwebbia prominens","Plantae | Viridaeplantae | Streptophyta | Equisetopsida | Magnoliidae | Rosanae | Myrtales | Myrtaceae | Lenwebbia","Buds",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://images.ala.org.au/image/proxyImageThumbnailLarge?imageId=5c32d7b8-27c1-4e3d-9587-169ecb10d4cd"
"2829410031","Lenwebbia prominens N.Snow & Guymer",-28.44197,153.22247,"cdc,colmafu,inmafu","07a54454-87c7-4e1e-b2ba-88a9d98d534b","0cbfea81-f7f6-43a7-a5bc-9b38898b505d","19893c10-381e-4534-9bb8-6c37d03ad29e","3c5e4331-7f2f-4a8d-aa56-81ece7014fc8","AU","DWC_ARCHIVE","2024-07-02T04:22:15.892+00:00","2024-07-02T07:40:35.895+00:00",227,"PRESERVED_SPECIMEN","PRESENT",5416203,6,7707728,220,690,5014,3177387,5416203,5416203,"Lenwebbia prominens N.Snow & Guymer","Plantae","Tracheophyta","Myrtales","Myrtaceae","Lenwebbia","Lenwebbia prominens","Lenwebbia","prominens","SPECIES","ACCEPTED","NE","2016-12-12T00:00:00","OCEANIA","New South Wales",2015,4,27,"2015-04-27",117,117,"2021-07-23T19:12:45.000+00:00","2024-07-02T07:40:35.895+00:00",NA,"http://creativecommons.org/licenses/by/4.0/",FALSE,"4c25210f-9189-4c93-80d4-73f2c348f259","none","none",TRUE,NA,"Johnstone, R.L.|Errington, G.|Kupsch, K.R.","McCune, S.F.","WGS84","Magnoliopsida","AU","none","none","OCEANIA","Australia","OCEANIA",NA,"4c25210f-9189-4c93-80d4-73f2c348f259",NA,NA,NA,"NSW","2829410031","4c25210f-9189-4c93-80d4-73f2c348f259",NA,"NSW907869","NSW",NA,NA,NA,"Lenwebbia prominens N.Snow & Guymer",4,NA,"Locally frequent small tree 4 m x 4 m. Fruits black. Seeds collected from > 30 plants.",NA,"bbd52eff-157b-4c0c-908c-1da4095d7c17","8115adac-2a60-4792-b67b-411865f3a16a","sheet","3622","Gully with regenerating rainforest post clearance. Dominated by Cinnamomum camphora, also with Tristaniopsis laurina, understorey with Ligustrum sinense, Lenwebbia prominens, Blechnum sp. etc. Rocky soil, with rhyolite boulders.","ICN",NA,"7000","7.8 km along Byrill Creek Road from Kyogle to Murwillumbah Road, at causeway crossing of Byrill Ctreek.","North Coast",NA,"PhysicalObject","Velvet Myrtle","https://id.biodiversity.org.au/node/apni/2905727","Lenwebbia prominens","N.Snow & Guymer","fruits","native","125 m","EPSG:4283","Degrees Minutes Decimal Seconds","in collection","species","GPS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://images.ala.org.au/image/proxyImageThumbnailLarge?imageId=c7edb563-81c3-4acc-ab72-22ca6bf2ddce"
"2827580917","Lenwebbia prominens N.Snow & Guymer",-28.56225,153.34708,"cdc,colmafu,inmafu","07a54454-87c7-4e1e-b2ba-88a9d98d534b","0cbfea81-f7f6-43a7-a5bc-9b38898b505d","19893c10-381e-4534-9bb8-6c37d03ad29e","3c5e4331-7f2f-4a8d-aa56-81ece7014fc8","AU","DWC_ARCHIVE","2024-07-02T04:22:15.892+00:00","2024-07-02T07:40:34.249+00:00",227,"PRESERVED_SPECIMEN","PRESENT",5416203,6,7707728,220,690,5014,3177387,5416203,5416203,"Lenwebbia prominens N.Snow & Guymer","Plantae","Tracheophyta","Myrtales","Myrtaceae","Lenwebbia","Lenwebbia prominens","Lenwebbia","prominens","SPECIES","ACCEPTED","NE","2014-07-14T00:00:00","OCEANIA","New South Wales",2014,4,28,"2014-04-28",118,118,"2021-07-23T19:12:48.000+00:00","2024-07-02T07:40:34.249+00:00",NA,"http://creativecommons.org/licenses/by/4.0/",FALSE,"4232b7fa-60c5-4cd3-9ca0-8c7b9fe9936f","none","none",TRUE,NA,"Johnstone, R.L.|Kooyman, R.","Wilson, Peter G.","WGS84","Magnoliopsida","AU","none","none","OCEANIA","Australia","OCEANIA",NA,"4232b7fa-60c5-4cd3-9ca0-8c7b9fe9936f",NA,NA,NA,"NSW","2827580917","4232b7fa-60c5-4cd3-9ca0-8c7b9fe9936f",NA,"NSW850977","NSW",NA,NA,NA,"Lenwebbia prominens N.Snow & Guymer",3,NA,"Locally uncommon small tree 5 m x 6 m. Two plants seen, only one with seeds, seeds colelcted from this tree only. Fruits dull black at maturity.",NA,"bbd52eff-157b-4c0c-908c-1da4095d7c17","8115adac-2a60-4792-b67b-411865f3a16a","sheet","3489","Gentle south facing slope near top of ridge. Rainforest with Ceratopetalum apetalum, Endiandra introrsa, Tristaniopsis collina, Acacia orites, Callicoma serratifolia, Acrotriche aggregata, Uromyrtus australis, Lomandra spicata. Shallow pale rocky soil, on rhyolite.","ICN",NA,"7000","Gibbergunyah Road, at the start of the Nightcap Track, Nightcap National Park.","North Coast",NA,"PhysicalObject","Velvet Myrtle","https://id.biodiversity.org.au/node/apni/2905727","Lenwebbia prominens","N.Snow & Guymer","fruits","native","765 m","EPSG:4283","Degrees Minutes Decimal Seconds","in collection","species","GPS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://images.ala.org.au/image/proxyImageThumbnailLarge?imageId=ad7a3a20-d132-42b0-8d13-b411a6b281d4"
"2235836086","Lenwebbia prominens N.Snow & Guymer",-28.2497,153.2,"gass84,osiic","821cc27a-e3bb-4bc5-ac34-89ada245069d","bc092ff0-02e4-11dc-991f-b8a03c50a862","b2ff19b5-d74f-40d2-82f1-ec5db01e8e31","bc092ff0-02e4-11dc-991f-b8a03c50a862","US","EML","2024-08-02T10:48:24.215+00:00","2024-08-02T12:39:00.344+00:00",403,"PRESERVED_SPECIMEN","PRESENT",5416203,6,7707728,220,690,5014,3177387,5416203,5416203,"Lenwebbia prominens N.Snow & Guymer","Plantae","Tracheophyta","Myrtales","Myrtaceae","Lenwebbia","Lenwebbia prominens","Lenwebbia","prominens","SPECIES","ACCEPTED","NE",NA,"OCEANIA","Queensland",2013,10,9,"2013-10-09",282,282,"2018-09-26T09:22:00.000+00:00","2024-08-02T12:39:00.344+00:00",NA,"http://creativecommons.org/licenses/by/4.0/",FALSE,"http://n2t.net/ark:/65665/33956a18c-51fb-4942-a28f-6e62c314fa2c","none","none",TRUE,"NMNH Extant Biology","P. I. Forster & G. Leiper","Forster, P. I.","WGS84","Magnoliopsida","AU","none","none","OCEANIA","Australia","NORTH_AMERICA",NA,"http://n2t.net/ark:/65665/33956a18c-51fb-4942-a28f-6e62c314fa2c",NA,NA,NA,"US","2235836086","http://n2t.net/ark:/65665/33956a18c-51fb-4942-a28f-6e62c314fa2c",NA,"US 3707115","US",NA,NA,NA,"Lenwebbia prominens N.Snow & Guymer",NA,NA,NA,"Australasia, Australia, Queensland","be5b9c72-e499-42b8-a5dc-c27505cf232e","151c91ba-a521-4735-8c11-5abf8db7fb67",NA,"40529","Complex notophyl vineforest, red soil derived from basalt. Very common at locality",NA,NA,NA,"Lamington National Park, Dragoon Bird Creek, Border Track",NA,NA,NA,NA,NA,NA,"Plantae, Dicotyledonae, Myrtales, Myrtaceae, Myrtoideae",NA,NA,NA,NA,NA,NA,NA,NA,"99d66b6c-9087-452f-a9d4-f15f2c2d0e7e",1,980,"urn:lsid:biocol.org:col:15463","urn:uuid:60e28f81-e634-4869-aa3e-732caed713c8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"http://n2t.net/ark:/65665/m35fe39fc9-54af-476d-8537-70a17230d633"
"2828423827","Lenwebbia prominens N.Snow & Guymer",-28.2131,153.2758,"cdc,colmafu,inmafu","07a54454-87c7-4e1e-b2ba-88a9d98d534b","0cbfea81-f7f6-43a7-a5bc-9b38898b505d","19893c10-381e-4534-9bb8-6c37d03ad29e","3c5e4331-7f2f-4a8d-aa56-81ece7014fc8","AU","DWC_ARCHIVE","2024-07-02T04:22:15.892+00:00","2024-07-02T07:40:46.041+00:00",227,"PRESERVED_SPECIMEN","PRESENT",5416203,6,7707728,220,690,5014,3177387,5416203,5416203,"Lenwebbia prominens N.Snow & Guymer","Plantae","Tracheophyta","Myrtales","Myrtaceae","Lenwebbia","Lenwebbia prominens","Lenwebbia","prominens","SPECIES","ACCEPTED","NE",NA,"OCEANIA","Queensland",2006,8,17,"2006-08-17",229,229,"2021-07-23T19:13:19.000+00:00","2024-07-02T07:40:46.041+00:00",NA,"http://creativecommons.org/licenses/by/4.0/",FALSE,"a06ac848-661a-48e6-b194-268469fee815","none","none",TRUE,NA,"Forster, P.I.",NA,"WGS84","Magnoliopsida","AU","none","none","OCEANIA","Australia","OCEANIA",NA,"a06ac848-661a-48e6-b194-268469fee815",NA,NA,NA,"NSW","2828423827","a06ac848-661a-48e6-b194-268469fee815",NA,"NSW842986","NSW",NA,NA,NA,"Lenwebbia prominens N.Snow & Guymer",100,NA,"Shrub to 2 m tall; foliage dark green glossy above, pale green glossy below; fruit hard fleshy, black. Occasional in area. Spirit material at BRI.",NA,"bbd52eff-157b-4c0c-908c-1da4095d7c17","8115adac-2a60-4792-b67b-411865f3a16a","sheet","31812","Complex notophyll vineforest, basalt mixed in with trachyte outcrops.","ICN",NA,"7000","Springbrook National Park, Twin Falls Circuit track, Poonyahra Falls.","Moreton",NA,"PhysicalObject","Velvet Myrtle","https://id.biodiversity.org.au/node/apni/2905727","Lenwebbia prominens","N.Snow & Guymer","fruits","native",NA,"EPSG:4203","Degrees Minutes Seconds","in collection","species","GPS",NA,NA,NA,NA,NA,"BRI AQ0616853",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://images.ala.org.au/image/proxyImageThumbnailLarge?imageId=1ba71490-349e-45d0-96c4-1c9a9030ac57"
"2235743461","Lenwebbia prominens N.Snow & Guymer",-27.47,152.97,"gass84,osiic","821cc27a-e3bb-4bc5-ac34-89ada245069d","bc092ff0-02e4-11dc-991f-b8a03c50a862","b2ff19b5-d74f-40d2-82f1-ec5db01e8e31","bc092ff0-02e4-11dc-991f-b8a03c50a862","US","EML","2024-08-02T10:48:24.215+00:00","2024-08-02T12:38:20.178+00:00",403,"PRESERVED_SPECIMEN","PRESENT",5416203,6,7707728,220,690,5014,3177387,5416203,5416203,"Lenwebbia prominens N.Snow & Guymer","Plantae","Tracheophyta","Myrtales","Myrtaceae","Lenwebbia","Lenwebbia prominens","Lenwebbia","prominens","SPECIES","ACCEPTED","NE",NA,"OCEANIA","Queensland",1999,1,14,"1999-01-14",14,14,"2022-11-04T07:31:00.000+00:00","2024-08-02T12:38:20.178+00:00",NA,"http://creativecommons.org/licenses/by/4.0/",FALSE,"http://n2t.net/ark:/65665/305fda69b-1625-4ce0-9104-ab5bf3ab6f81","none","none",TRUE,"NMNH Extant Biology","N. Snow",NA,"WGS84","Magnoliopsida","AU","none","none","OCEANIA","Australia","NORTH_AMERICA",NA,"http://n2t.net/ark:/65665/305fda69b-1625-4ce0-9104-ab5bf3ab6f81",NA,NA,NA,"US","2235743461","http://n2t.net/ark:/65665/305fda69b-1625-4ce0-9104-ab5bf3ab6f81",NA,"US 3392440","US",NA,NA,NA,"Lenwebbia prominens N.Snow & Guymer",NA,NA,NA,"Australasia, Australia, Queensland","be5b9c72-e499-42b8-a5dc-c27505cf232e","151c91ba-a521-4735-8c11-5abf8db7fb67",NA,"7729",NA,NA,NA,NA,"Moreton, Brisbane Botanic Gardens, Mt Coot-tha.",NA,NA,NA,NA,NA,NA,"Plantae, Dicotyledonae, Myrtales, Myrtaceae, Myrtoideae",NA,NA,NA,NA,NA,NA,NA,NA,"99d66b6c-9087-452f-a9d4-f15f2c2d0e7e",1,NA,"urn:lsid:biocol.org:col:15463","urn:uuid:60e28f81-e634-4869-aa3e-732caed713c8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"http://n2t.net/ark:/65665/m38f72dafe-6464-4e09-8f29-ed5b48920824"
"2827548222","Lenwebbia prominens N.Snow & Guymer",-28.5814,153.37681,"cdc,colmafu,inmafu","07a54454-87c7-4e1e-b2ba-88a9d98d534b","0cbfea81-f7f6-43a7-a5bc-9b38898b505d","19893c10-381e-4534-9bb8-6c37d03ad29e","3c5e4331-7f2f-4a8d-aa56-81ece7014fc8","AU","DWC_ARCHIVE","2024-07-02T04:22:15.892+00:00","2024-07-02T07:40:46.490+00:00",227,"PRESERVED_SPECIMEN","PRESENT",5416203,6,7707728,220,690,5014,3177387,5416203,5416203,"Lenwebbia prominens N.Snow & Guymer","Plantae","Tracheophyta","Myrtales","Myrtaceae","Lenwebbia","Lenwebbia prominens","Lenwebbia","prominens","SPECIES","ACCEPTED","NE","1999-05-24T00:00:00","OCEANIA","New South Wales",1997,2,5,"1997-02-05",36,36,"2021-07-23T19:13:05.000+00:00","2024-07-02T07:40:46.490+00:00",NA,"http://creativecommons.org/licenses/by/4.0/",FALSE,"d8c52893-18b9-434b-a5a8-ffd3b718764a","none","none",TRUE,NA,"Wilson, G. Peter|O'Brien, M.M.","Snow, N.","WGS84","Magnoliopsida","AU","none","none","OCEANIA","Australia","OCEANIA",NA,"d8c52893-18b9-434b-a5a8-ffd3b718764a",NA,NA,NA,"NSW","2827548222","d8c52893-18b9-434b-a5a8-ffd3b718764a",NA,"NSW406575","NSW",NA,NA,NA,"Lenwebbia prominens N.Snow & Guymer",300,NA,"Small tree, 4 m high; fruit green, unripe. Voucher for DNA sample.",NA,"bbd52eff-157b-4c0c-908c-1da4095d7c17","8115adac-2a60-4792-b67b-411865f3a16a","sheet","1347","Wet sclerophyll forest with eucalypts, Syncarpia and Lophostemon confertus, with rainforest elements in the understorey.","ICN",NA,"7000","Peates Mountain road, 2.7 km N of Nightcap Range Road, Whian Whian State Forest.","North Coast",NA,"PhysicalObject","Velvet Myrtle","https://id.biodiversity.org.au/node/apni/2905727","Lenwebbia prominens","N.Snow & Guymer","fruits","native","380 m",NA,"Degrees Minutes Decimal Seconds","in collection","species","Map",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://images.ala.org.au/image/proxyImageThumbnailLarge?imageId=7d3cc41e-53fa-4542-8828-d6417ce3cba0"
"2830198067","Lenwebbia prominens N.Snow & Guymer",-28.18,153.3,"cdc,colmafu,inmafu","07a54454-87c7-4e1e-b2ba-88a9d98d534b","0cbfea81-f7f6-43a7-a5bc-9b38898b505d","19893c10-381e-4534-9bb8-6c37d03ad29e","3c5e4331-7f2f-4a8d-aa56-81ece7014fc8","AU","DWC_ARCHIVE","2024-07-02T04:22:15.892+00:00","2024-07-02T07:40:30.520+00:00",227,"PRESERVED_SPECIMEN","PRESENT",5416203,6,7707728,220,690,5014,3177387,5416203,5416203,"Lenwebbia prominens N.Snow & Guymer","Plantae","Tracheophyta","Myrtales","Myrtaceae","Lenwebbia","Lenwebbia prominens","Lenwebbia","prominens","SPECIES","ACCEPTED","NE","1999-03-01T00:00:00","OCEANIA","Queensland",1997,11,27,"1997-11-27",331,331,"2021-07-23T19:13:36.000+00:00","2024-07-02T07:40:30.520+00:00",NA,"http://creativecommons.org/licenses/by/4.0/",FALSE,"1c352477-8b87-4f29-a68a-bc9bf24984ba","none","none",TRUE,NA,"Snow, N.|Bradford, J.","Snow, N.","WGS84","Magnoliopsida","AU","none","none","OCEANIA","Australia","OCEANIA",NA,"1c352477-8b87-4f29-a68a-bc9bf24984ba",NA,NA,NA,"NSW","2830198067","1c352477-8b87-4f29-a68a-bc9bf24984ba",NA,"NSW466622","NSW",NA,NA,NA,"Lenwebbia prominens N.Snow & Guymer",1000,NA,"Tree ca. 5 m tall, in bud, flowers 4-numerous.",NA,"bbd52eff-157b-4c0c-908c-1da4095d7c17","8115adac-2a60-4792-b67b-411865f3a16a","sheet","7463","Tree overhanging rivulet draining into larger creek off track bearing away from road.","ICN",NA,"7000","Austinville Rd., 7.5 km from turnoff of Springbrook Rd. where road directly crosses creek for first time.","Moreton",NA,"PhysicalObject","Velvet Myrtle","https://id.biodiversity.org.au/node/apni/2905727","Lenwebbia prominens","N.Snow & Guymer","buds","native",NA,NA,"Degrees Minutes","in collection","species",NA,NA,NA,NA,NA,NA,"BRI AQ0661750",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://images.ala.org.au/image/proxyImageThumbnailLarge?imageId=4e6126c9-61d4-4fac-b46e-0c0f015085c5"
"2828086458","Lenwebbia prominens N.Snow & Guymer",-28.18,153.28,"cdc,colmafu,inmafu","07a54454-87c7-4e1e-b2ba-88a9d98d534b","0cbfea81-f7f6-43a7-a5bc-9b38898b505d","19893c10-381e-4534-9bb8-6c37d03ad29e","3c5e4331-7f2f-4a8d-aa56-81ece7014fc8","AU","DWC_ARCHIVE","2024-07-02T04:22:15.892+00:00","2024-07-02T07:40:47.131+00:00",227,"PRESERVED_SPECIMEN","PRESENT",5416203,6,7707728,220,690,5014,3177387,5416203,5416203,"Lenwebbia prominens N.Snow & Guymer","Plantae","Tracheophyta","Myrtales","Myrtaceae","Lenwebbia","Lenwebbia prominens","Lenwebbia","prominens","SPECIES","ACCEPTED","NE","1999-03-01T00:00:00","OCEANIA","Queensland",1997,11,27,"1997-11-27",331,331,"2021-07-23T19:13:39.000+00:00","2024-07-02T07:40:47.131+00:00",NA,"http://creativecommons.org/licenses/by/4.0/",FALSE,"e0d2dd04-5531-40c1-a076-5587412a92ac","none","none",TRUE,NA,"Snow, N.|Bradford, J.","Snow, N.","WGS84","Magnoliopsida","AU","none","none","OCEANIA","Australia","OCEANIA",NA,"e0d2dd04-5531-40c1-a076-5587412a92ac",NA,NA,NA,"NSW","2828086458","e0d2dd04-5531-40c1-a076-5587412a92ac",NA,"NSW466620","NSW",NA,NA,NA,"Lenwebbia prominens N.Snow & Guymer",10000,NA,"Tree ca. 6 m all, large suckers at base. Only two trees seen.",NA,"bbd52eff-157b-4c0c-908c-1da4095d7c17","8115adac-2a60-4792-b67b-411865f3a16a","sheet","7466",NA,"ICN",NA,"7000","Adjacent to Blackfellows Creek, ca. 100 m upstream from trail leading below Canyon Lookout, Springbrook National Park.","Moreton",NA,"PhysicalObject","Velvet Myrtle","https://id.biodiversity.org.au/node/apni/2905727","Lenwebbia prominens","N.Snow & Guymer","buds","native",NA,NA,"Degrees Minutes","in collection","species",NA,NA,NA,NA,NA,NA,"BRI AQ0661753",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://images.ala.org.au/image/proxyImageThumbnailLarge?imageId=c5023b30-a34d-4e03-8c8b-0975a5e2a588"
"2517038592","Lenwebbia prominens N.Snow & Guymer",-28.18333,153.3,"colmafu,inmafu","15f819bd-6612-4447-854b-14d12ee1022d","396d5f30-dea9-11db-8ab4-b8a03c50a862","65eb93af-41b8-4917-a5fc-cfe2a45aa4bf","396d5f30-dea9-11db-8ab4-b8a03c50a862","NL","DWC_ARCHIVE","2024-07-18T22:01:52.868+00:00","2024-07-18T23:54:43.265+00:00",270,"PRESERVED_SPECIMEN","PRESENT",5416203,6,7707728,220,690,5014,3177387,5416203,5416203,"Lenwebbia prominens N.Snow & Guymer","Plantae","Tracheophyta","Myrtales","Myrtaceae","Lenwebbia","Lenwebbia prominens","Lenwebbia","prominens","SPECIES","ACCEPTED","NE",NA,"OCEANIA",NA,1997,11,27,"1997-11-27",331,331,NA,"2024-07-18T23:54:43.265+00:00",NA,"http://creativecommons.org/licenses/by/4.0/",FALSE,"L.3917642@BRAHMS","none","none",TRUE,NA,"Snow NW; Bradford J",NA,"WGS84","Magnoliopsida","AU","none","none","OCEANIA","Australia","EUROPE","Naturalis Biodiversity Center","L.3917642@BRAHMS",NA,NA,NA,"Botany","2517038592","https://data.biodiversitydata.nl/naturalis/specimen/L.3917642",NA,"L.3917642",NA,NA,NA,NA,"Lenwebbia prominens N.Snow & Guymer",NA,NA,NA,NA,"0e919a55-08d3-4bd2-aec1-200858fafd92","0add23db-a8f7-4d15-95ad-4ed0c5c8a055",NA,"Snow, NW; Bradford, J 7463",NA,"ICN",NA,NA,"Queensland. Moreton. Austinville Road, 7.5km from turnoff of Springbrook Road where road directly crosses creek for first time.",NA,NA,NA,NA,NA,NA,"Plantae|Myrtales|Myrtaceae",NA,NA,NA,NA,NA,NA,NA,NA,"17abcf75-2f1e-46dd-bf75-a5b21dd02655",NA,NA,"Naturalis Biodiversity Center",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://medialib.naturalis.nl/file/id/L.3917642/format/large"
"2517092599","Lenwebbia prominens N.Snow & Guymer",-28.2,153.25,"colmafu,inmafu","15f819bd-6612-4447-854b-14d12ee1022d","396d5f30-dea9-11db-8ab4-b8a03c50a862","65eb93af-41b8-4917-a5fc-cfe2a45aa4bf","396d5f30-dea9-11db-8ab4-b8a03c50a862","NL","DWC_ARCHIVE","2024-07-18T22:01:52.868+00:00","2024-07-18T23:56:16.976+00:00",270,"PRESERVED_SPECIMEN","PRESENT",5416203,6,7707728,220,690,5014,3177387,5416203,5416203,"Lenwebbia prominens N.Snow & Guymer","Plantae","Tracheophyta","Myrtales","Myrtaceae","Lenwebbia","Lenwebbia prominens","Lenwebbia","prominens","SPECIES","ACCEPTED","NE",NA,"OCEANIA",NA,1994,1,16,"1994-01-16",16,16,NA,"2024-07-18T23:56:16.976+00:00",NA,"http://creativecommons.org/licenses/by/4.0/",FALSE,"L.3917641@BRAHMS","none","none",TRUE,NA,"Foster PI; Leiper G",NA,"WGS84","Magnoliopsida","AU","none","none","OCEANIA","Australia","EUROPE","Naturalis Biodiversity Center","L.3917641@BRAHMS",NA,NA,NA,"Botany","2517092599","https://data.biodiversitydata.nl/naturalis/specimen/L.3917641",NA,"L.3917641",NA,NA,NA,NA,"Lenwebbia prominens N.Snow & Guymer",NA,NA,NA,NA,"0e919a55-08d3-4bd2-aec1-200858fafd92","0add23db-a8f7-4d15-95ad-4ed0c5c8a055",NA,"Foster, PI; Leiper, G 14614",NA,"ICN",NA,NA,"Queensland. Moreton. Springbrook, Blackfellow Creek.",NA,NA,NA,NA,NA,NA,"Plantae|Myrtales|Myrtaceae",NA,NA,NA,NA,NA,NA,NA,NA,"17abcf75-2f1e-46dd-bf75-a5b21dd02655",NA,NA,"Naturalis Biodiversity Center",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://medialib.naturalis.nl/file/id/L.3917641/format/large"
